precursorID,name,key,scaffold_group,parent_formal_charge,mh_mz,source,in_msg15_recorded_all,in_msg15_parent_all,in_muru_exposed_populations,in_muru_registry,in_study2_pop,in_comparator_pop,in_msnlib_9lib,scaffold_in_muru_exposed_populations,scaffold_in_muru_registry,scaffold_in_study2_pop,scaffold_in_comparator_pop,scaffold_in_msg15_all,name_route_in_msg15,name_key_matches_db,db_MH_in_hilicpos,in_mw_subjects,mw_subject_name
PM0000019,Acedapsone,AMTPYFGPPVFBBI,O=S(=O)(c1ccccc1)c1ccccc1,0.0,333.09035445899997,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,Acedapsone
PM0000020,Acedoben,QCXJEYYXVJIFCE,c1ccccc1,0.0,180.065519615,db_smiles,True,True,False,False,False,False,True,True,True,False,False,True,,,True,True,Acedoben
PM0000021,Acefylline,HCYFGRCYSCXKNQ,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0.0,239.077481267,db_smiles,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True,True,Acefylline
PM0000026,Acetaminosalol,TWIIVLKQFJBFPW,O=C(Oc1ccccc1)c1ccccc1,0.0,272.091734363,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,Acetaminosalol
PM0000027,Acetanilide,FZERHIULMFGESH,c1ccccc1,0.0,136.075690375,db_smiles,True,True,False,False,False,False,False,True,True,False,False,True,,,True,True,Acetanilide
PM0000028,Acetarsol,ODFJOVXVLFUVNQ,c1ccccc1,0.0,275.984770387,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,Acetarsol
PM0000031,Acetophenazine,WNTYBHLDCKXEOT,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,0.0,412.20532463500007,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Acetophenazine
PM0000036,Acipimox,DJQOOSBJCLSSEY,c1c[nH+]ccn1,0.0,155.045118519,db_smiles,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Acipimox
PM0000037,Actarit,MROJXXOCABQVEF,c1ccccc1,0.0,194.081169679,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Actarit
PM0000038,Acyclovir,MKUXAQIIEYXACX,O=c1nc[nH]c2[nH]cnc12,0.0,226.093465679,db_smiles,True,True,True,True,False,False,True,True,True,False,False,False,,,True,True,Acyclovir
PM0000039,Adapalene,LZCDAPDGXCYOEH,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,0.0,413.211121223,db_smiles,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,Adapalene
PM0000041,Adelmidrol,PAHZPHDAJQIETD,__ACYCLIC__PAHZPHDAJQIETD,0.0,275.196533779,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Adelmidrol
PM0000043,Adiphenine,JGOAIQNSOGZNBX,c1ccc(Cc2ccccc2)cc1,0.0,312.19580550700005,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Adiphenine
PM0000045,Afalanine,CBQJSKKFNMDLON,c1ccccc1,0.0,208.096819743,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Afalanine
PM0000046,Ajmaline,CJDRUOGAGYHKKD,c1ccc2c(c1)NC1C3CC4CCN3C3CC21CC43,0.0,327.20670453900004,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Ajmaline
PM0000047,Aklomide,GFGSZUNNBQXGMK,c1ccccc1,0.0,201.006146167,db_smiles,False,False,True,True,False,False,True,True,True,False,False,True,False,True,False,True,Aklomide
PM0000048,Albendazole,HXHWSAZORRCQMX,c1ccc2[nH]cnc2c1,0.0,266.095774187,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Albendazole
PM0000050,Alfuzosin,WNMJYKCGWZFFKR,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1,0.0,390.213580811,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Alfuzosin
PM0000051,Aliskiren,UXOWGYHJODZGMF,c1ccccc1,0.0,552.400712883,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Aliskiren
PM0000053,Allylestrenol,ATXHVCQZZJYMCF,C1=C2CCC3C4CCCC4CCC3C2CCC1,0.0,301.252592111,db_smiles,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,Allylestrenol
PM0000054,Alogliptin,ZSBOMTDTBDDKMP,O=c1cc(N2CCCCC2)n(Cc2ccccc2)c(=O)[nH]1,0.0,340.17680137900004,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Alogliptin
PM0000057,Altrenogest,VWAUPFMBXBWEQY,O=C1C=C2CCC3C(=C2CC1)C=CC1CCCC13,0.0,311.200556539,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Altrenogest
PM0000058,Altretamine,UUVWYPNAQBNQJQ,c1ncncn1,0.0,211.166571043,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Altretamine
PM0000061,Ambroxol,JBDGDEWWOUBZPM,c1ccc(CNC2CCCCC2)cc1,0.0,376.985863863,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Ambroxol
PM0000062,Amcinonide,ILKJAFIWWBXGDU,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OC3(CCCC3)OC12,0.0,503.2439581469999,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Amcinonide
PM0000063,Amezinium,VXROHTDSRBRJLN,c1ccc(-[n+]2ccccn2)cc1,1.0,,db_smiles,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,Amezinium
PM0000064,Amikacin,LKCWBDHBTVXHDL,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,0.0,586.2930129029997,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Amikacin
PM0000066,Aminohippuric Acid,HSMNQINEKMPTIC,c1ccccc1,0.0,195.076418647,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,False,True,Aminohippuric Acid
PM0000068,Aminopyrine,RMMXTBMQSGEXHJ,O=c1cc[nH]n1-c1ccccc1,0.0,232.144438631,db_smiles,True,True,False,False,False,False,False,True,True,False,False,True,,,True,True,Aminopyrine
PM0000070,Aminothiazole,RAIPHJJURHTUIC,c1cscn1,0.0,101.016795595,db_smiles,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True,True,Aminothiazole
PM0000071,Amiodarone,IYIKLHRQXLHMJQ,O=C(c1ccccc1)c1coc2ccccc12,0.0,646.0309662550001,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Amiodarone
PM0000072,Amisulpride,NTJOBXMMWNYJFB,O=C(NCC1CCCN1)c1ccccc1,0.0,370.179503811,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Amisulpride
PM0000074,Amlexanox,SGRYPYWGNKJSDL,O=c1c2ccccc2oc2ncccc12,0.0,299.102633395,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Amlexanox
PM0000075,Amlodipine,HTIQEAQVCYTUBX,C1=CC(c2ccccc2)C=CN1,0.0,409.15247604699994,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Amlodipine
PM0000077,Amorolfine,MQHLMHIZUIDKOO,c1ccc(CCCN2CCOCC2)cc1,0.0,318.279141207,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Amorolfine
PM0000081,Ampiroxicam,LSNWBKACGXCGAJ,O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,0.0,448.11729747900006,db_smiles,True,True,False,False,False,False,True,True,True,False,False,True,,,True,True,Ampiroxicam
PM0000082,Amprolium,IPZFPROOBOUEIG,c1cc[n+](Cc2cncnc2)cc1,1.0,,db_smiles,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,Amprolium
PM0000083,Ampyzine,UUINNXPPLPDRQX,c1cnccn1,0.0,124.086923755,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,Ampyzine
PM0000084,Amsacrine,XCPGHVQEEXUHNC,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,0.0,394.1219889350001,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Amsacrine
PM0000085,Amylene Hydrate,MSXVEPNJUHWQHW,__ACYCLIC__MSXVEPNJUHWQHW,0.0,89.096091471,db_smiles,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,Amylene Hydrate
PM0000086,Anagrelide,OTBXOEAOVRKTNQ,O=C1CN2Cc3ccccc3N=C2N1,0.0,256.003893671,db_smiles,True,True,False,False,False,False,True,False,False,False,False,True,,,True,True,Anagrelide
PM0000087,Ancitabine,BBDAGFIXKZCXAH,N=c1ccn2c(n1)OC1CCOC12,0.0,226.082232299,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Ancitabine
PM0000088,Aniacetam,ZXNRTKGTQJPIJK,O=C1CCCN1C(=O)c1ccccc1,0.0,220.096819743,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Aniacetam
PM0000090,Anisodamine,WTQYWNWRJNXDEG,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,0.0,306.169984683,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Anisodamine
PM0000091,Antazoline,REYFJDPCWQRWAA,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,0.0,266.165174075,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Antazoline
PM0000095,Arginine,ODKSFYDXXFIFQN,__ACYCLIC__ODKSFYDXXFIFQN,0.0,175.118952155,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Arginine
PM0000096,Aripiprazole,CEUORZQYGODEFX,O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1,0.0,448.155308931,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Aripiprazole
PM0000097,Armodafinil,YFGHCGITMMYXAQ,c1ccc(Cc2ccccc2)cc1,0.0,274.089626187,db_smiles,True,True,False,False,False,False,False,True,True,False,False,True,,,True,True,Armodafinil
PM0000098,Arsanilic acid,XKNKHVGWJDPIRJ,c1ccccc1,0.0,217.979291083,db_smiles,True,True,True,True,False,False,False,True,True,False,False,True,,,True,True,Arsanilic acid
PM0000099,Artemether,SXYIRMFQILZOAM,C1CC2CCOC3OC4CCC(C1)C23OO4,0.0,299.185300399,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Artemether
PM0000100,Artemisinin,BLUAFEHZUWYNDE,O=C1CC2CCCC3CCC4OOC32C(O1)O4,0.0,283.15400027100003,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Artemisinin
PM0000101,Artenimol,BJDCWCLMFKKGEE,C1CC2CCOC3OC4CCC(C1)C23OO4,0.0,285.16965033500003,db_smiles,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,Artenimol
PM0000104,Atomoxetine,VHGCDTVCOLNTBX,c1ccc(COc2ccccc2)cc1,0.0,256.169590759,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Atomoxetine
PM0000105,Atorvastatin,XUKUURHRXDUEBC,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,0.0,559.2602769069999,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Atorvastatin
PM0000106,Atovaquone,BSJMWHQBCZFXBR,O=C1C(=O)c2ccccc2C=C1C1CCC(c2ccccc2)CC1,0.0,367.10954861499994,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Atovaquone
PM0000107,Atropine,RKUNBYITZUJHSG,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,0.0,290.175070063,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Atropine
PM0000110,Azaperone,XTKDAFGWCDAMPY,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccccc1,0.0,328.181967011,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Azaperone
PM0000111,Azaserine,AGNGYMCLFWQVGX,__ACYCLIC__AGNGYMCLFWQVGX,0.0,174.050932171,db_smiles,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Azaserine
PM0000113,Azelastine,MBUVEWMHONZEQD,O=c1c2ccccc2c(Cc2ccccc2)nn1C1CCCNCC1,0.0,382.168066535,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Azelastine
PM0000114,Azithromycin,MQTOSJVFKKJCRP,O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1,0.0,749.5158022109999,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Azithromycin
PM0000115,Azlocillin,JTWOMNBEOCYFNV,O=C(NC1C(=O)N2CCSC12)C(NC(=O)N1CCNC1=O)c1ccccc1,0.0,462.144180923,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Azlocillin
PM0000116,Aztreonam,WZPBZJONDBGPKJ,N=C(C(=O)NC1CNC1=O)c1cscn1,0.0,436.05913097100006,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Aztreonam
PM0000117,Bacampicillin,PFOLLRNADZZWEX,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,0.0,466.16424767100006,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Bacampicillin
PM0000118,Baclofen,KPYSYYIEGFHWSV,c1ccccc1,0.0,214.062932771,db_smiles,True,True,False,False,False,False,True,True,True,False,False,True,,,True,True,Baclofen
PM0000119,Balsalazide,IPOKCKJONYRRHP,c1ccc(N=Nc2ccccc2)cc1,0.0,358.10336166699994,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Balsalazide
PM0000120,Bambuterol,ANZXOIAKUNOVQU,c1ccccc1,0.0,368.217997495,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Bambuterol
PM0000121,Barbaloin,AFHJQYHRLPMKHU,O=C1c2ccccc2C(C2CCCCO2)c2ccccc21,0.0,419.1336587509998,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,False,True,Barbaloin
PM0000122,Barbital,FTOAOBMCPZCFFF,O=C1CC(=O)NC(=O)N1,0.0,185.092068711,db_smiles,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,Barbital
PM0000125,Benactyzine hydrochloride,IVQOFBKHQCTVQV,c1ccc(Cc2ccccc2)cc1,0.0,328.190720127,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Benactyzine hydrochloride
PM0000127,Bendamustine,YTKUWDBFDASYHO,c1ccc2[nH]cnc2c1,0.0,358.108358739,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Bendamustine
PM0000128,Bendroflumethiazide,HDWIHXWEUNVBIY,O=S1(=O)NC(Cc2ccccc2)Nc2ccccc21,0.0,422.0450590549999,db_smiles,True,True,False,False,False,False,True,False,False,False,False,True,,,True,True,Bendroflumethiazide
PM0000131,Benoxinate,CMHHMUWAYWTMGS,c1ccccc1,0.0,309.217269223,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Benoxinate
PM0000133,Benurestat,JFZGBMJPJZDNNT,c1ccccc1,0.0,229.037446295,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,Benurestat
PM0000136,Benzoclidine,AHKAOMZZTQULDS,O=C(OC1CN2CCC1CC2)c1ccccc1,0.0,232.133205251,db_smiles,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,Benzoclidine
PM0000137,Benzoylpas,GNZCRYWFWKFIDM,O=C(Nc1ccccc1)c1ccccc1,0.0,258.076084299,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,Benzoylpas
PM0000139,Benzydamine,CNBGNNVCVSKAQZ,c1ccc(Cn2ncc3ccccc32)cc1,0.0,310.191388823,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Benzydamine
PM0000140,Benzyl,MDKCFLQDBWCQCV,c1ccccc1,0.0,150.037196691,db_smiles,True,True,False,False,False,False,True,True,True,False,False,True,,,False,True,Benzyl
PM0000141,Benzyl Alcohol,WVDDGKGOMKODPV,c1ccccc1,0.0,109.064791343,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,False,True,Benzyl Alcohol
PM0000142,Berberine,YBHILYKTIRIUTE,c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2,1.0,,db_smiles,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,Berberine
PM0000143,Bergapten,BGEBZHIAGXMEMV,O=c1ccc2cc3ccoc3cc2o1,0.0,217.049535203,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Bergapten
PM0000144,Bergenin,YWJXCIXBAKGUKZ,O=C1OC2CCCOC2c2ccccc21,0.0,329.08670855899993,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Bergenin
PM0000146,Beta naphthol,JWAZRIHNYRIHIV,c1ccc2ccccc2c1,0.0,145.064791343,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Beta naphthol
PM0000147,"Betamethasone 17,21-Dipropionate",CIWBQSYVNNPZIQ,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.0,505.2596082109999,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,"Betamethasone 17,21-Dipropionate"
PM0000148,Betamethasone Acetate,AKUJBENLRBOFTD,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.0,435.2177433989999,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Betamethasone Acetate
PM0000149,Betamethasone phosphate,VQODGRNSFPNSQE,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.0,473.17350923699985,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Betamethasone phosphate
PM0000150,Betamipron,CWXYHOHYCJXYFQ,c1ccccc1,0.0,194.081169679,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,False,True,Betamipron
PM0000154,Biotin,YBJHBAHKTGYVGT,O=C1NC2CSCC2N1,0.0,245.095439839,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Biotin
PM0000158,Bitoscanate,OMWQUXGVXQELIX,c1ccccc1,0.0,192.988866595,db_smiles,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,True,Bitoscanate
PM0000160,Brivudine,ODZBBRURCPAEIQ,O=c1ccn(C2CCCO2)c(=O)[nH]1,0.0,333.008060083,db_smiles,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,True,Brivudine
PM0000163,Bromopride,GIYAQDDTCWHPPL,c1ccccc1,0.0,344.096815511,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Bromopride
PM0000164,Bromperidol,RKLNONIVDFXQRX,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,0.0,420.096895763,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Bromperidol
PM0000165,Brompheniramine,ZDIGNSYAACHWNL,c1ccc(Cc2ccccn2)cc1,0.0,319.08043717500004,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Brompheniramine
PM0000167,Bucetin,LIAWQASKBFCRNR,c1ccccc1,0.0,224.128119871,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,False,True,Bucetin
PM0000168,Bucladesine,CJGYSWNGNKCJSB,O=[PH]1OCC2OC(n3cnc4cncnc43)CC2O1,0.0,470.1435258249998,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Bucladesine
PM0000169,Bufexamac,MXJWRABVEGLYDG,c1ccccc1,0.0,224.128119871,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Bufexamac
PM0000170,Buflomedil,OWYLAEYXIQKAOL,O=C(CCCN1CCCC1)c1ccccc1,0.0,308.185634747,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Buflomedil
PM0000172,Bupivacaine Hydrochloride,LEBVLXFERQHONN,O=C(Nc1ccccc1)C1CCCCN1,0.0,289.22743998299995,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Bupivacaine Hydrochloride
PM0000173,Bupropion,SNPPWIUOZRMYNY,c1ccccc1,0.0,240.114968343,db_smiles,True,True,True,True,False,False,False,True,True,False,False,True,,,True,True,Bupropion
PM0000174,Buramate,YFLRYAVDPKONNX,c1ccccc1,0.0,196.096819743,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,Buramate
PM0000175,Buspirone,QWCRAEMEVRGPNT,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0.0,386.255051699,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Buspirone
PM0000177,Butacaine,HQFWVSGBVLEQGA,c1ccccc1,0.0,307.23800466700004,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Butacaine
PM0000182,Candesartan,HTQMVQVXFRQIKW,c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3cnc4ccccc43)cc2)c1,0.0,441.166964967,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,True,True,Candesartan
PM0000183,Candesartan cilextil,GHOSNRCGJFBJIB,O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c12)OC1CCCCC1,0.0,611.261259275,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Candesartan cilextil
PM0000185,Canrenone,UJVLDDZCTMKXJK,O=C1C=C2C=CC3C(CCC4C3CCC43CCC(=O)O3)C2CC1,0.0,341.21112122299996,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Canrenone
PM0000186,Capecitabine,GAGWJHPBXLXJQN,O=c1ncccn1C1CCCO1,0.0,360.1565401109999,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Capecitabine
PM0000187,Capobenic,MPTXLVRHYGBOQY,c1ccccc1,0.0,326.15981392299994,db_smiles,False,False,False,False,False,False,False,True,True,False,False,True,False,,True,True,Capobenic
PM0000189,Carazolol,BQXQGZPYHWWCEB,c1ccc2c(c1)[nH]c1ccccc12,0.0,299.175404411,db_smiles,True,True,True,True,False,False,False,True,True,False,False,True,,,True,True,Carazolol
PM0000190,Carbadox,BPMVRAQIQQEBLN,C=C1C=[NH+]c2ccccc2N1,0.0,263.077481267,db_smiles,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,Carbadox
PM0000197,Carbimazole,CFOYWRHIYXMDOT,S=c1[nH]cc[nH]1,0.0,187.053575027,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,False,True,Carbimazole
PM0000199,Carglumic acid,LCQLHJZYVOQKHU,__ACYCLIC__LCQLHJZYVOQKHU,0.0,191.066247887,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Carglumic acid
PM0000201,Carnitine,PHIQHXFUZVPYII,__ACYCLIC__PHIQHXFUZVPYII,1.0,,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,Carnitine
PM0000202,Carprofen,PUXBGTOOZJQSKH,c1ccc2c(c1)[nH]c1ccccc12,0.0,274.06293277099996,db_smiles,True,True,True,True,False,False,True,True,True,False,False,True,,,False,True,Carprofen
PM0000203,Carsalam,OAYRYNVEFFWSHK,O=c1[nH]c(=O)c2ccccc2o1,0.0,164.034219487,db_smiles,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,Carsalam
PM0000204,Carvedilol,OGHNVEJMJSYVRP,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,0.0,407.196533779,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Carvedilol
PM0000205,Carzenide,UCAGLBKTLXCODC,c1ccccc1,0.0,202.016855171,db_smiles,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,True,Carzenide
PM0000206,Casanthranol,CPUHNROBVJNNPW,O=C1c2ccccc2C(OC2CCCCO2)c2ccccc21,0.0,435.12857337099985,db_smiles,False,False,False,True,False,False,True,False,True,False,False,False,False,,True,True,Casanthranol
PM0000212,Cefdinir,RTXOFQZKPXMALH,N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,0.0,396.0430869830001,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Cefdinir
PM0000213,Cefditoren Pivoxil,AFZFFLVORLEPPO,N=C(C(=O)NC1C(=O)N2C=C(C=Cc3cncs3)CSC12)c1cscn1,0.0,621.1254367030001,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Cefditoren Pivoxil
