case_id,direct_class,seeds_with_correct_on_front,seeds_with_retained_correct,independent_selection_count,independent_representative_expression,representative_correct,matches_sealed_selection_count,matches_sealed_representative_expression,valid,invalid_reason,admissibility
PB|held_out|F02|r008,LOST_IN_CROSS_SEED,15,1,14,x1 + 0.61239827,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r009,LOST_IN_RETENTION,19,0,22,sqrt(x0) * 0.060416028,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r010,LOST_IN_RETENTION,13,0,10,x1 + 0.6169179,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r011,LOST_IN_RETENTION,11,0,20,x0 * 0.0035606283,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r000,LOST_IN_RETENTION,1,0,20,x1 + 0.53724337,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r001,LOST_IN_RETENTION,12,0,6,x1 + 0.45246968,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r002,LOST_IN_RETENTION,18,0,12,x1 + 0.5323104,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r003,LOST_IN_RETENTION,9,0,12,x1 + 0.56172895,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r004,LOST_IN_RETENTION,14,0,13,x1 + 0.46077526,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r005,LOST_IN_RETENTION,13,0,16,x1 + 0.6101338,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r006,LOST_IN_RETENTION,26,0,10,x1 + 0.67980164,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r007,LOST_IN_RETENTION,16,0,20,x0 * 0.0034341589,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r008,LOST_IN_RETENTION,18,0,21,sqrt(x0) * 0.0626685,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r009,LOST_IN_RETENTION,9,0,24,sqrt(x0) * 0.06365399,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r010,LOST_IN_RETENTION,14,0,10,x1 + 0.43189278,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F03|r011,LOST_IN_CROSS_SEED,10,1,16,x0 * 0.0033214989,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r000,LOST_IN_CROSS_SEED,12,1,4,x1 + 0.5013046,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r001,LOST_IN_CROSS_SEED,19,4,8,x1 - -0.5376318,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r002,LOST_IN_RETENTION,16,0,22,sqrt(x0) * 0.06554845,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r003,LOST_IN_RETENTION,22,0,25,sqrt(x0) * 0.0580719,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r004,LOST_IN_CROSS_SEED,9,1,16,x1 + 0.5758213,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r005,LOST_IN_CROSS_SEED,19,6,9,x1 + 0.5702866,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r006,LOST_IN_RETENTION,14,0,20,sqrt(x0 / 244.06987),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r007,LOST_IN_CROSS_SEED,16,5,7,sqrt(x0) * 0.06359844,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r008,LOST_IN_CROSS_SEED,16,2,2,x1 + 0.50674164,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r009,LOST_IN_CROSS_SEED,22,1,22,sqrt(x0) * 0.065848954,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r010,LOST_IN_CROSS_SEED,11,4,17,x1 + 0.6377199,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F04|r011,LOST_IN_RETENTION,15,0,25,sqrt(x0) * 0.061287276,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r000,LOST_IN_CROSS_SEED,15,9,6,sqrt(x0) * 0.06511023,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r001,LOST_IN_CROSS_SEED,15,5,5,x1 + 0.65082455,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r002,LOST_IN_CROSS_SEED,13,1,14,sqrt(x0) * 0.06789299,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r003,LOST_IN_CROSS_SEED,13,4,14,x1 + 0.5843031,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r004,LOST_IN_CROSS_SEED,14,2,17,sqrt(x0) * 0.062090743,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r005,LOST_IN_CROSS_SEED,16,5,16,x0 * 0.0035033152,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r006,LOST_IN_CROSS_SEED,19,11,9,x0 * 0.003965307,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r007,LOST_IN_CROSS_SEED,11,2,2,x0 * 0.0038755746,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r008,LOST_IN_RETENTION,14,0,22,sqrt(x0 / 246.46964),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r009,LOST_IN_RETENTION,16,0,21,sqrt(x0) * 0.058113348,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r010,LOST_IN_CROSS_SEED,18,4,14,sqrt(x0) * 0.06386685,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F05|r011,LOST_IN_RETENTION,14,0,23,sqrt(x0) * 0.06318596,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r000,LOST_IN_CROSS_SEED,9,1,17,sqrt(x0) * 0.064536534,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r001,LOST_IN_CROSS_SEED,13,6,14,x0 * 0.004230031,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r002,LOST_IN_CROSS_SEED,9,2,4,x1 + 0.5178782,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r003,LOST_IN_RETENTION,16,0,23,sqrt(x0) * 0.06150791,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r004,LOST_IN_CROSS_SEED,15,2,4,x1 + 0.6090243,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r005,LOST_IN_CROSS_SEED,13,2,18,sqrt(x0) * 0.063511886,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r006,LOST_IN_CROSS_SEED,14,3,5,x1 + 0.52602565,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r007,LOST_IN_RETENTION,12,0,17,sqrt(x0 * 0.0037711281),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r008,LOST_IN_CROSS_SEED,14,4,10,x0 * 0.0035550992,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r009,LOST_IN_RETENTION,9,0,20,sqrt(0.0044446457 * x0),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r010,LOST_IN_CROSS_SEED,18,1,21,sqrt(x0) * 0.06633986,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F08|r011,LOST_IN_CROSS_SEED,17,6,12,sqrt(x0) * 0.06455415,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r000,LOST_IN_RETENTION,4,0,19,sqrt(x0) * 0.06244444,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r001,LOST_IN_RETENTION,2,0,19,sqrt(x0) * 0.0627913,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r002,LOST_IN_RETENTION,5,0,26,sqrt(x0 * 0.0036516595),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r003,LOST_IN_RETENTION,7,0,25,sqrt(x0) * 0.059402473,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r004,NEVER_ON_FRONT,0,0,27,sqrt(x0) * 0.064357325,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r005,LOST_IN_RETENTION,6,0,24,sqrt(x0) * 0.059784796,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r006,LOST_IN_RETENTION,6,0,17,sqrt(x0) * 0.06460609,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r007,NEVER_ON_FRONT,0,0,21,sqrt(0.0038977137 * x0),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r008,LOST_IN_RETENTION,3,0,24,sqrt(x0) * 0.06225954,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r009,LOST_IN_RETENTION,4,0,21,sqrt(x0) * 0.06460084,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r010,LOST_IN_RETENTION,4,0,22,sqrt(x0) * 0.06375726,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F09|r011,LOST_IN_RETENTION,4,0,17,sqrt(x0 / 251.15608),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r000,LOST_IN_CROSS_SEED,29,2,23,sqrt(x0) * 0.060421687,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r001,LOST_IN_RETENTION,27,0,25,sqrt(x0) * 0.06540512,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r002,LOST_IN_RETENTION,29,0,20,sqrt(x0) * 0.060207974,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r003,LOST_IN_CROSS_SEED,27,3,16,sqrt(x0) / 16.182133,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r004,LOST_IN_RETENTION,29,0,25,sqrt(x0) * 0.06530437,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r005,LOST_IN_RETENTION,26,0,22,sqrt(x0) * 0.060977876,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r006,LOST_IN_RETENTION,29,0,21,sqrt(x0) * 0.06301649,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r007,LOST_IN_CROSS_SEED,30,6,16,sqrt(x0) * 0.06662608,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r008,LOST_IN_CROSS_SEED,29,3,21,sqrt(x0) * 0.065695085,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r009,LOST_IN_RETENTION,27,0,28,sqrt(x0) * 0.061906807,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r010,LOST_IN_CROSS_SEED,29,2,23,sqrt(x0) * 0.06311648,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F10|r011,LOST_IN_CROSS_SEED,28,1,18,sqrt(x0 / 243.56528),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r000,LOST_IN_RETENTION,15,0,21,sqrt(x0) * 0.061785463,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r001,LOST_IN_CROSS_SEED,22,6,2,cube(x1 + log(x0)) * 0.004713337,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r002,LOST_IN_CROSS_SEED,17,3,11,x1 + 0.5872008,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r003,LOST_IN_RETENTION,12,0,15,sqrt(x0) * 0.059922334,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r004,LOST_IN_CROSS_SEED,17,9,10,sqrt(x0 / 245.3782),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r005,LOST_IN_CROSS_SEED,12,5,10,sqrt(x0) * 0.061988596,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r006,LOST_IN_CROSS_SEED,13,5,9,sqrt(x0) * 0.06650535,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r007,LOST_IN_CROSS_SEED,12,3,8,x1 + 0.6779648,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r008,LOST_IN_RETENTION,16,0,18,sqrt(x0) * 0.06338616,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r009,LOST_IN_CROSS_SEED,16,9,4,sqrt(x0) * 0.06307586,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r010,SUCCESS,22,11,2,sqrt(x0) * ((x1 * 0.02897169) - -0.050662126),True,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F11|r011,LOST_IN_RETENTION,14,0,27,x1 + 0.5769277,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r000,SUCCESS,21,6,2,sqrt(x0) * (0.0539287 - (x1 * -0.02557102)),True,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r001,LOST_IN_CROSS_SEED,17,5,11,x0 * 0.0037038706,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r002,LOST_IN_CROSS_SEED,17,8,15,sqrt(x0) * 0.06460443,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r003,LOST_IN_CROSS_SEED,14,6,6,x0 * 0.00366681,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r004,LOST_IN_CROSS_SEED,20,7,3,x1 + 0.54970866,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r005,LOST_IN_CROSS_SEED,15,7,7,x1 + 0.5893492,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r006,LOST_IN_RETENTION,20,0,28,sqrt(x0) * 0.06365609,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r007,LOST_IN_CROSS_SEED,21,2,7,x1 + 0.55857205,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r008,LOST_IN_RETENTION,7,0,22,sqrt(x0) * 0.06298955,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r009,LOST_IN_CROSS_SEED,18,1,27,sqrt(x0) * 0.0631569,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r010,LOST_IN_CROSS_SEED,12,1,19,sqrt(0.0041696676 * x0),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F12|r011,LOST_IN_CROSS_SEED,22,5,1,cube(sqrt(square(x1 + 1.9487005) + sqrt(x0))) * 0.0102731595,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r000,LOST_IN_CROSS_SEED,10,5,13,sqrt(x0) * 0.06314372,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r001,LOST_IN_CROSS_SEED,19,4,18,x0 * 0.0037425621,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r002,LOST_IN_RETENTION,20,0,26,sqrt(x0) * 0.06151238,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r003,LOST_IN_CROSS_SEED,12,3,16,sqrt(x0) * 0.058543194,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r004,LOST_IN_CROSS_SEED,17,5,4,x1 + 0.607603,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r005,LOST_IN_RETENTION,19,0,20,sqrt(x0) * 0.06348582,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r006,LOST_IN_CROSS_SEED,17,1,6,x1 + 0.50741595,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r007,LOST_IN_CROSS_SEED,17,4,9,x1 + 0.5718898,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r008,LOST_IN_CROSS_SEED,22,7,13,x1 + 0.6122492,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r009,LOST_IN_RETENTION,15,0,21,sqrt(x0) * 0.06247039,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r010,LOST_IN_CROSS_SEED,15,8,9,0.06450606 * sqrt(x0),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F17|r011,LOST_IN_CROSS_SEED,11,5,13,sqrt(x0) * 0.064021446,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r000,NEVER_ON_FRONT,0,0,21,sqrt(x0) * 0.0674076,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r001,NEVER_ON_FRONT,0,0,22,sqrt(x0 / 258.22543),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r002,NEVER_ON_FRONT,0,0,23,sqrt(x0) * 0.06312979,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r003,NEVER_ON_FRONT,0,0,22,sqrt(x0) * 0.06583118,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r004,NEVER_ON_FRONT,0,0,23,0.063700505 * sqrt(x0),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r005,NEVER_ON_FRONT,0,0,22,sqrt(x0) * 0.06738667,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r006,NEVER_ON_FRONT,0,0,26,sqrt(x0 / 250.02692),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r007,NEVER_ON_FRONT,0,0,27,sqrt(x0 / 249.66727),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r008,NEVER_ON_FRONT,0,0,28,sqrt(x0) * 0.06049323,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r009,NEVER_ON_FRONT,0,0,27,sqrt(x0) * 0.06398697,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r010,NEVER_ON_FRONT,0,0,21,sqrt(x0) * 0.061518107,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F18|r011,NEVER_ON_FRONT,0,0,18,sqrt(x0 * 0.0039169863),False,True,True,True,,DECISION_INADMISSIBLE
