checkpoint,split_scope,split_role,source_library,instrument,raw_nce,nce_times_mz_over_500,other_conversion,unknown_ambiguous,native_ev_not_nce,excluded_or_missing,total_rows,resolved_by_code_provenance,resolved_by_numeric_test,resolved_by_instrument_semantics,unresolved,s1_raw_nce_if_msnlib_probable_accepted,presented_value_rounding
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:MCEBIO,Orbitrap,0,0,0,287,0,0,287,0,0,0,287,287,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:MCESCAF,ALL,0,0,0,3,0,0,3,0,0,0,3,3,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:MCESCAF,Orbitrap,0,0,0,3,0,0,3,0,0,0,3,3,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:NIHNP,ALL,0,0,0,291,0,0,291,0,0,0,291,291,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:NIHNP,Orbitrap,0,0,0,291,0,0,291,0,0,0,291,291,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),ALL,0,0,0,5,0,0,5,0,0,0,5,5,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,0,0,0,5,0,0,5,0,0,0,5,5,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),ALL,0,0,0,32,0,0,32,0,0,0,32,32,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,0,0,0,32,0,0,32,0,0,0,32,32,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MassBank_or_MoNA,ALL,0,1028,0,934,1580,0,3542,0,1028,1580,934,0,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MassBank_or_MoNA,Orbitrap,0,1028,0,934,0,0,1962,0,1028,0,934,0,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,test,not_used_for_fitting,MassBank_or_MoNA,QTOF,0,0,0,0,1580,0,1580,0,0,1580,0,0,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,ALL,ALL,30631,23894,22,26776,37706,0,119029,30631,23916,37706,26776,39024,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,ALL,Orbitrap,30631,23894,22,26776,0,0,81323,30631,23916,0,26776,39024,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,ALL,QTOF,0,0,0,0,37706,0,37706,0,0,37706,0,0,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:MCEBIO,ALL,15537,0,0,0,0,0,15537,15537,0,0,0,15537,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:MCEBIO,Orbitrap,15537,0,0,0,0,0,15537,15537,0,0,0,15537,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:MCESCAF,ALL,11471,0,0,0,0,0,11471,11471,0,0,0,11471,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:MCESCAF,Orbitrap,11471,0,0,0,0,0,11471,11471,0,0,0,11471,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:NIHNP,ALL,237,0,0,0,0,0,237,237,0,0,0,237,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:NIHNP,Orbitrap,237,0,0,0,0,0,237,237,0,0,0,237,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:OTAVAPEP,ALL,3095,0,0,0,0,0,3095,3095,0,0,0,3095,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:OTAVAPEP,Orbitrap,3095,0,0,0,0,0,3095,3095,0,0,0,3095,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),ALL,181,0,0,0,0,0,181,181,0,0,0,181,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,181,0,0,0,0,0,181,181,0,0,0,181,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;NIHNP),ALL,56,0,0,0,3,0,59,56,0,3,0,56,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,56,0,0,0,0,0,56,56,0,0,0,56,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;NIHNP),QTOF,0,0,0,0,3,0,3,0,0,3,0,0,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),ALL,7,0,0,0,0,0,7,7,0,0,0,7,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),Orbitrap,7,0,0,0,0,0,7,7,0,0,0,7,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCESCAF;NIHNP),ALL,3,0,0,0,0,0,3,3,0,0,0,3,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCESCAF;NIHNP),Orbitrap,3,0,0,0,0,0,3,3,0,0,0,3,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),ALL,15,0,0,0,0,0,15,15,0,0,0,15,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),Orbitrap,15,0,0,0,0,0,15,15,0,0,0,15,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:unmatched,ALL,29,0,0,6,0,0,35,29,0,0,6,29,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0:unmatched,Orbitrap,29,0,0,6,0,0,35,29,0,0,6,29,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:MCEBIO,ALL,0,0,0,4149,0,0,4149,0,0,0,4149,4149,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:MCEBIO,Orbitrap,0,0,0,4149,0,0,4149,0,0,0,4149,4149,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:MCESCAF,ALL,0,0,0,12,0,0,12,0,0,0,12,12,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:MCESCAF,Orbitrap,0,0,0,12,0,0,12,0,0,0,12,12,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:NIHNP,ALL,0,0,0,3393,0,0,3393,0,0,0,3393,3393,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:NIHNP,Orbitrap,0,0,0,3393,0,0,3393,0,0,0,3393,3393,floor (INFERRED int-truncated spectrum-header CE keys)
iceberg21_msg_simulation_gen,all,all_splits,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),ALL,0,0,0,121,0,0,121,0,0,0,121,121,floor (INFERRED int-truncated spectrum-header CE keys)
