checkpoint,split_scope,split_role,source_library,instrument,category,subreason,resolution_basis,status,n_rows
glacier_msg,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,99
glacier_msg,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,12
glacier_msg,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,654
glacier_msg,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,retained,21982
glacier_msg,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT3_OTHER_CONVERSION,pct_conversion_of_noninteger_nce,numeric_test,retained,22
glacier_msg,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_ce0,unresolved,retained,3
glacier_msg,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_mult5,unresolved,retained,16431
glacier_msg,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_other,unresolved,retained,18
glacier_msg,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_nonint_not_mz_proportional,unresolved,retained,12
glacier_msg,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_half_integer,instrument_semantics,retained,539
glacier_msg,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,33316
glacier_msg,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,retained,745
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,9717
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6321
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,162
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2649
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,114
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,43
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;NIHNP),QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,3
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,7
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:multiple(MCESCAF;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,3
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,12
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,17
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0:unmatched,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_order_nonladder_or_anomalous,unresolved,retained,6
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,3589
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0_probable:MCESCAF,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,9
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0_probable:NIHNP,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,2856
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,99
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,12
iceberg21_msg_simulation_gen,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,654
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,retained,21982
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT3_OTHER_CONVERSION,pct_conversion_of_noninteger_nce,numeric_test,retained,22
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_ce0,unresolved,retained,3
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_mult5,unresolved,retained,16431
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_other,unresolved,retained,18
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_nonint_not_mz_proportional,unresolved,retained,12
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_half_integer,instrument_semantics,retained,539
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,33316
iceberg21_msg_simulation_gen,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,retained,745
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,9717
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6321
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,162
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2649
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,114
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,43
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;NIHNP),QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,3
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,7
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:multiple(MCESCAF;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,3
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,12
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,17
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0:unmatched,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_order_nonladder_or_anomalous,unresolved,retained,6
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,3589
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0_probable:MCESCAF,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,9
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0_probable:NIHNP,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,2856
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,99
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,12
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,654
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,excluded_ce_key_filter,10769
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,retained,11213
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT3_OTHER_CONVERSION,pct_conversion_of_noninteger_nce,numeric_test,excluded_ce_key_filter,8
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT3_OTHER_CONVERSION,pct_conversion_of_noninteger_nce,numeric_test,retained,14
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_ce0,unresolved,retained,3
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_mult5,unresolved,retained,16431
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_other,unresolved,retained,18
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_nonint_not_mz_proportional,unresolved,retained,12
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_half_integer,instrument_semantics,excluded_ce_key_filter,38
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_half_integer,instrument_semantics,retained,501
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,33316
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,excluded_ce_key_filter,348
iceberg21_msg_simulation_inten_contr,train,gradient_updates,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,retained,397
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2882
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2546
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,31
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,301
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,22
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,4
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,273
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:NIHNP,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,246
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,17
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,20
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,retained,884
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_ce0,unresolved,retained,1
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_mult5,unresolved,retained,978
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,1483
glacier_msg,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,retained,40
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2882
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2546
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,31
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,301
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,22
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,4
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,273
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:NIHNP,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,246
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,17
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,20
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,retained,884
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_ce0,unresolved,retained,1
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_mult5,unresolved,retained,978
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,1483
iceberg21_msg_simulation_gen,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,retained,40
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2882
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2546
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,31
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,301
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,22
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,4
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,273
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:NIHNP,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,246
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,17
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,20
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,excluded_ce_key_filter,464
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT2_NCE_x_mz_over_500,nonint_T500_pass,numeric_test,retained,420
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_ce0,unresolved,retained,1
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,mbmona_integer_mult5,unresolved,retained,978
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,1483
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,excluded_ce_key_filter,22
iceberg21_msg_simulation_inten_contr,val,early_stopping_and_best_checkpoint_selection,MassBank_or_MoNA,QTOF,NATIVE_EV_NOT_NCE,qtof_other_fractional,instrument_semantics,retained,18
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2938
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2604
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,44
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,145
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,45
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,9
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,3
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6
glacier_msg,test,not_used_for_fitting,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,287
