spec,instrument,instrument_type,ionization,adduct,precursor,precursor_mz,precursor_abs_diff,collision_energies,collision_energy,fold,simulation_challenge,labels_ce_is_trunc_of_parquet,precursor_mismatch,ce_mismatch,instrument_mismatch,adduct_mismatch,inchikey_mismatch,formula_mismatch,smiles_canonical_mismatch
MassSpecGymID0000033,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['38'],38.29848,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000035,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['28'],28.72386,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000036,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['25'],25.53232,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000037,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['22'],22.34078,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000038,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['19'],19.14924,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000039,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['15'],15.9577,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000040,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['12'],12.76616,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000041,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['9'],9.57462,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000127,Orbitrap,Orbitrap,[M+H]+,[M+H]+,273.0757,273.0757,0.0,['27'],27.30757,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000128,Orbitrap,Orbitrap,[M+H]+,[M+H]+,273.0757,273.0757,0.0,['21'],21.846056,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000129,Orbitrap,Orbitrap,[M+H]+,[M+H]+,273.0757,273.0757,0.0,['32'],32.76908399999999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000209,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['47'],47.065008,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000210,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['23'],23.532504,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000211,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['15'],15.688336,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000212,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['31'],31.376672,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000213,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['39'],39.22084,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000214,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['47'],47.065008,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000215,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['39'],39.22084,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000216,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['31'],31.376672,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000217,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['23'],23.532504,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000218,Orbitrap,Orbitrap,[M+H]+,[M+H]+,784.4168,784.4168,0.0,['15'],15.688336,test,True,True,False,True,False,False,False,False,False
MassSpecGymID0000339,Orbitrap,Orbitrap,[M+H]+,[M+H]+,238.0863,238.0863,0.0,['23'],23.80863,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000340,Orbitrap,Orbitrap,[M+H]+,[M+H]+,238.0863,238.0863,0.0,['28'],28.570356,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000616,Orbitrap,Orbitrap,[M+H]+,[M+H]+,273.0757,273.0757,0.0,['32'],32.76908399999999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000617,Orbitrap,Orbitrap,[M+H]+,[M+H]+,273.0757,273.0757,0.0,['27'],27.30757,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000871,Orbitrap,Orbitrap,[M+H]+,[M+H]+,391.2471,391.2471,0.0,['19'],19.562355,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001126,Orbitrap,Orbitrap,[M+H]+,[M+H]+,271.0601,271.0601,0.0,['27'],27.10601,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001127,Orbitrap,Orbitrap,[M+H]+,[M+H]+,271.0601,271.0601,0.0,['32'],32.527212,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001419,Orbitrap,Orbitrap,[M+H]+,[M+H]+,180.1019,180.1019,0.0,['5'],5.403057,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001420,Orbitrap,Orbitrap,[M+H]+,[M+H]+,180.1019,180.1019,0.0,['21'],21.612228,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001421,Orbitrap,Orbitrap,[M+H]+,[M+H]+,180.1019,180.1019,0.0,['14'],14.408152,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001422,Orbitrap,Orbitrap,[M+H]+,[M+H]+,180.1019,180.1019,0.0,['10'],10.806114,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001423,Orbitrap,Orbitrap,[M+H]+,[M+H]+,180.1019,180.1019,0.0,['7'],7.204076,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001424,Orbitrap,Orbitrap,[M+H]+,[M+H]+,180.1019,180.1019,0.0,['18'],18.010189999999998,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001938,QTOF,QTOF,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['27'],27.5,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001943,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['48'],48.169995,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001944,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['57'],57.803994,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001945,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['48'],48.169995,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001946,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['57'],57.803994,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001947,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['38'],38.535996,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001948,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['28'],28.901997,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001949,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['38'],38.535996,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001950,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['19'],19.267998,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001951,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['22'],22.479331,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001952,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['9'],9.633999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001953,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['9'],9.633999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001954,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['22'],22.479331,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001955,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['28'],28.901997,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001956,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['19'],19.267998,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001957,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['32'],32.113330000000005,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001958,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['38'],38.535996,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001959,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['12'],12.845332,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001960,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['19'],19.267998,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001961,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['9'],9.633999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001962,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['25'],25.690664,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001990,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['22'],22.479331,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001991,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['57'],57.803994,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001992,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['48'],48.169995,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001993,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['38'],38.535996,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001994,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['28'],28.901997,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001995,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['19'],19.267998,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001996,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['9'],9.633999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001997,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['57'],57.803994,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001998,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['48'],48.169995,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0001999,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['38'],38.535996,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002000,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['28'],28.901997,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002001,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['19'],19.267998,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002002,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['9'],9.633999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002003,Orbitrap,Orbitrap,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['22'],22.479331,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002005,QTOF,QTOF,[M+H]+,[M+H]+,321.1333,321.1333,0.0,['27'],27.5,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002036,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['32'],32.50707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002037,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['42'],42.259191,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002038,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['55'],55.262019,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002039,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['48'],48.760605,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002040,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['35'],35.757777000000004,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002041,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['52'],52.011312,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002042,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['65'],65.01414,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002043,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['26'],26.005656,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002044,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['29'],29.256363,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002045,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['61'],61.763433,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002046,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['39'],39.008484,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002047,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['58'],58.512726,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002048,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['68'],68.26484699999999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002049,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['22'],22.754949,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002050,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['45'],45.509898,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002051,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['68'],68.26484699999999,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002052,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['65'],65.01414,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002053,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['61'],61.763433,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002054,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['58'],58.512726,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002055,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['55'],55.262019,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002056,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['52'],52.011312,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002057,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['48'],48.760605,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002058,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['45'],45.509898,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002059,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['42'],42.259191,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002060,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['39'],39.008484,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002061,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['35'],35.757777000000004,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002062,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['32'],32.50707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002063,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['29'],29.256363,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002064,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['26'],26.005656,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002065,Orbitrap,Orbitrap,[M+H]+,[M+H]+,325.0707,325.0707,0.0,['22'],22.754949,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002162,QTOF,QTOF,[M+H]+,[M+H]+,216.101,216.101,0.0,['23'],23.25,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002185,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['32'],32.415150000000004,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002186,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['38'],38.89818,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002187,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['12'],12.96606,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002188,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['25'],25.93212,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002189,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['12'],12.96606,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002190,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['38'],38.89818,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002191,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['32'],32.415150000000004,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002192,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['19'],19.44909,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002193,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['15'],15.12707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002194,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['19'],19.44909,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002195,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['15'],15.12707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002196,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['25'],25.93212,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002204,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['15'],15.12707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002207,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['34'],34.57616,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002208,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['30'],30.25414,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002210,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['38'],38.89818,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002221,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['15'],15.12707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002228,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['15'],15.12707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002229,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['38'],38.89818,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002230,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['32'],32.415150000000004,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002231,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['25'],25.93212,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002232,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['19'],19.44909,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002233,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['12'],12.96606,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002234,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['38'],38.89818,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002235,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['32'],32.415150000000004,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002236,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['25'],25.93212,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002237,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['19'],19.44909,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002238,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['12'],12.96606,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002240,Orbitrap,Orbitrap,[M+H]+,[M+H]+,216.101,216.101,0.0,['15'],15.12707,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002241,QTOF,QTOF,[M+H]+,[M+H]+,216.101,216.101,0.0,['23'],23.25,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0002290,QTOF,QTOF,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['29'],29.2,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002292,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['11'],11.643177,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002293,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['23'],23.286354,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002294,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['69'],69.85906200000001,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002295,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['34'],34.929531000000004,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002296,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['34'],34.929531000000004,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002297,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['27'],27.167413,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002298,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['69'],69.85906200000001,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002299,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['11'],11.643177,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002300,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['58'],58.215885,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002301,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['27'],27.167413,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002302,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['46'],46.572708,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002303,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['23'],23.286354,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002304,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['58'],58.215885,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002305,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['46'],46.572708,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002319,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['27'],27.167413,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002320,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['69'],69.85906200000001,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002321,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['58'],58.215885,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002322,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['46'],46.572708,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002323,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['34'],34.929531000000004,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002324,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['23'],23.286354,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002325,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['11'],11.643177,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002326,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['69'],69.85906200000001,val,True,True,False,True,False,False,False,False,False
MassSpecGymID0002327,Orbitrap,Orbitrap,[M+H]+,[M+H]+,388.1059,388.1059,0.0,['58'],58.215885,val,True,True,False,True,False,False,False,False,False
