bafg_key,bafg_formula,bafg_in_msg15_any_route,bafg_any_record_in_2023_11,msg_parent_key,msg_formula,msg_rows_ce70_150,msg_distinct_ce70_150,same_formula,msg_key_is_other_bafg_key,msg_folds
LLPOLZWFYMWNKH,C18H21NO3,True,True,OROGSEYTTFOCAN,C18H21NO3,9,9,True,True,train
LMKQNTMFZLAJDV,C7H12ClN5,True,True,CVXBEEMKQHEXEN,C12H11NO2,2,2,False,True,train
LNOOSYCKMKZOJB,C15H21NO4,True,True,ZQEIXNIJLIKNTD,C15H21NO4,9,9,True,True,train
LRUDIIUSNGCQKF,C7H7N3,True,True,JWYUFVNJZUSCSM,C7H7N3,2,2,True,True,train
LXCFILQKKLGQFO,C8H8O3,True,True,YKUCHDXIBAQWSF,C8H8O3,8,8,True,True,train
LZFZMUMEGBBDTC,C18H24N2O5,True,True,VPHZAKHKNGOIBF,C18H24N2O5,9,9,True,False,train
MCGSCOLBFJQGHM,C14H18N6O,True,True,SWINWPBPEKHUOD,C18H22O3,5,5,False,True,train
MCGSCOLBFJQGHM,C14H18N6O,True,True,WPOCIZJTELRQMF,C18H22O3,8,8,False,True,train
METKIMKYRPQLGS,C14H22N2O3,True,True,HRKAMJBPFPHCSD,C12H27O4P,2,2,False,True,train
MMSWXJSQCAEDLK,C15H23NO2,True,True,SUQHIQRIIBKNOR,C15H23NO2,3,3,True,True,train
MUMGGOZAMZWBJJ,C19H28O2,True,True,FMGSKLZLMKYGDP,C19H28O2,6,6,True,True,train
MWWBDLRPMWTLRX,C8H15N5S,True,True,HCRWJJJUKUVORR,C8H15N5S,9,9,True,True,train
NGBBVGZWCFBOGO,C10H13NO2,True,True,CPJSUEIXXCENMM,C10H13NO2,8,8,True,True,train
NGBBVGZWCFBOGO,C10H13NO2,True,True,YOZNZNZSJNNALS,C10H13NO2,8,8,True,True,train
NGBFQHCMQULJNZ,C16H20N4O3S,True,True,VFHVQBAGLAREND,C22H21O2P,2,2,False,True,train
NJKDOADNQSYQEV,C17H22I3N3O8,True,True,XQZXYNRDCRIARQ,C17H22I3N3O8,2,2,True,True,train
NPUKDXXFDDZOKR,C14H16N2O2,True,True,JRBJSXQPQWSCCF,C14H16N2O2,9,9,True,True,train
NWXMGUDVXFXRIG,C22H24N2O8,True,True,SGKRLCUYIXIAHR,C22H24N2O8,8,8,True,True,test
NXHFPNVCAZMTSG,C9H11NO2,True,True,FGOFNVXHDGQVBG,C9H11NO2,9,9,True,True,train
ODCWYMIRDDJXKW,C7H12ClN5,True,True,CVXBEEMKQHEXEN,C12H11NO2,2,2,False,True,train
OEQNVWKWQPTBSC,C17H21NO2,True,True,WXZVAROIGSFCFJ,C17H21NO2,9,9,True,True,train
OGBVRMYSNSKIEF,C7H9O3P,False,True,FDDDEECHVMSUSB,C6H8N2O2S,3,3,False,True,train
OIRDTQYFTABQOQ,C10H13N5O4,True,True,HBOMLICNUCNMMY,C10H13N5O4,2,2,True,True,train
OOAFBZIRZNUNQV,C14H20N2O,True,True,JYBQTDHFCBQLHP,C14H20N2O,9,9,True,True,train
OQANPHBRHBJGNZ,C18H14N4O5S,False,True,NCEXYHBECQHGNR,C18H14N4O5S,2,2,True,False,test
OQXVWJQUBIBIHZ,C32H37NO4,True,True,XGHOVGYJHWQGCC,C32H37NO4,9,9,True,True,test
OROGSEYTTFOCAN,C18H21NO3,True,True,LLPOLZWFYMWNKH,C18H21NO3,9,9,True,True,train
PFRYFZZSECNQOL,C14H15N3,True,True,HAORKNGNJCEJBX,C14H15N3,9,9,True,True,train
PFWLFWPASULGAN,C6H6N4O2,True,True,DHNIKYWYTSMDDA,C6H6N4O2,5,5,True,True,train
PJFNNMFXEVADGK,C8H9NO2,False,True,IAGUPODHENSJEZ,C8H9NO2,9,9,True,True,train
PJSFRIWCGOHTNF,C12H14N4O4S,True,True,ZZORFUFYDOWNEF,C12H14N4O4S,9,9,True,True,train
PUIYMUZLKQOUOZ,C12H18N2O,True,True,WRMRXPASUROZGT,C12H18N2O,2,2,True,True,train
PVXVWWANJIWJOO,C12H17NO2,True,True,FRZJZRVZZNTMAW,C12H17NO2,8,8,True,True,train
PXOZAFXVEWKXED,C15H15N3O2,False,False,VTNQPKFIQCLBDU,C14H20ClNO2,5,5,False,True,train
PXOZAFXVEWKXED,C15H15N3O2,False,False,XCSGPAVHZFQHGE,C14H20ClNO2,7,7,False,True,train
QLNWXBAGRTUKKI,C8H9NO2,True,True,IAGUPODHENSJEZ,C8H9NO2,9,9,True,True,train
QQCFBZCATDIWTH,C15H12N2O2,True,True,CTRLABGOLIVAIY,C15H12N2O2,7,7,True,True,train
QQCFBZCATDIWTH,C15H12N2O2,True,True,VPZIYMMSJFWLSP,C15H12N2O2,7,7,True,True,train
QQCFBZCATDIWTH,C15H12N2O2,True,True,ZRWWEEVEIOGMMT,C15H12N2O2,9,9,True,True,train
RGCKGOZRHPZPFP,C14H8O4,True,False,GUEIZVNYDFNHJU,C14H8O4,2,2,True,True,train
RJKFOVLPORLFTN,C21H30O2,True,True,CYQFCXCEBYINGO,C21H30O2,9,9,True,True,train
RZVAJINKPMORJF,C8H9NO2,True,True,IAGUPODHENSJEZ,C8H9NO2,9,9,True,True,train
SABZQUOBNXDLDV,C9H12N2O2,True,True,VYRAHTPNSYEFTK,C9H12N2O2,5,5,True,True,train
SAIKULLUBZKPDA,C16H35N,True,True,SFBHPFQSSDCYSL,C16H35N,9,9,True,True,train
SBDNJUWAMKYJOX,C14H11Cl2NO2,True,True,DCOPUUMXTXDBNB,C14H11Cl2NO2,9,9,True,True,train
SCKYRAXSEDYPSA,C12H17NO2,True,True,FRZJZRVZZNTMAW,C12H17NO2,8,8,True,True,train
SCKYRAXSEDYPSA,C12H17NO2,True,True,PVXVWWANJIWJOO,C12H17NO2,9,9,True,True,train
SFBHPFQSSDCYSL,C16H35N,True,True,SAIKULLUBZKPDA,C16H35N,9,9,True,True,train
SGKRLCUYIXIAHR,C22H24N2O8,True,True,NWXMGUDVXFXRIG,C22H24N2O8,9,9,True,True,test
SHXWCVYOXRDMCX,C11H15NO2,True,True,FZUGPQWGEGAKET,C11H15NO2,2,2,True,True,train
SKHXRNHSZTXSLP,C13H22N4O4S,True,True,DFJVUWAHTQPQCV,C13H22N4O4S,9,9,True,True,val
SKZKKFZAGNVIMN,C7H7NO2,True,True,VDEUYMSGMPQMIK,C7H7NO2,5,5,True,True,train
SODJJEXAWOSSON,C15H14O5,True,True,VGEREEWJJVICBM,C15H14O5,1,1,True,True,train
SONNWYBIRXJNDC,C9H13NO2,True,True,BBZBYWMNNPPFKA,C9H13NO2,4,4,True,True,train
SONNWYBIRXJNDC,C9H13NO2,True,True,JZEHWMUIAKALDN,C9H13NO2,9,9,True,True,train
STCOOQWBFONSKY,C12H27O4P,True,True,HRKAMJBPFPHCSD,C12H27O4P,2,2,True,True,train
STCOOQWBFONSKY,C12H27O4P,True,True,METKIMKYRPQLGS,C14H22N2O3,2,2,False,True,train
SUPKOOSCJHTBAH,C8H12N5O4P,True,True,MIQPIUSUKVNLNT,C14H11NO5,6,6,False,True,train
SWINWPBPEKHUOD,C18H22O3,True,True,MCGSCOLBFJQGHM,C14H18N6O,1,1,False,True,train
SWINWPBPEKHUOD,C18H22O3,True,True,WPOCIZJTELRQMF,C18H22O3,8,8,True,True,train
TVYLLZQTGLZFBW,C16H25NO2,True,True,MKAFOJAJJMUXLW,C16H25NO2,5,5,True,True,train
UBMGKRIXKUIXFQ,C18H22N2O2,True,True,BQXQGZPYHWWCEB,C18H22N2O2,9,9,True,True,train
UKNHQPDCWMADJW,C10H12N4O5,False,True,KFQUAMTWOJHPEJ,C10H12N4O5,1,1,True,False,train
UNBOSJFEZZJZLR,C12H10N4O2,False,False,ZJTJUVIJVLLGSP,C12H10N4O2,9,9,True,True,train
UWJUQVWARXYRCG,C15H23NO2,True,True,SUQHIQRIIBKNOR,C15H23NO2,3,3,True,True,train
UXIGWFXRQKWHHA,C11H9I3N2O4,True,True,YVPYQUNUQOZFHG,C11H9I3N2O4,7,7,True,True,train
VDEUYMSGMPQMIK,C7H7NO2,True,True,SKZKKFZAGNVIMN,C7H7NO2,2,2,True,True,train
VFHVQBAGLAREND,C22H21O2P,True,True,NGBFQHCMQULJNZ,C16H20N4O3S,9,9,False,True,train
VGEREEWJJVICBM,C15H14O5,True,True,SODJJEXAWOSSON,C15H14O5,1,1,True,True,train
VPZIYMMSJFWLSP,C15H12N2O2,True,True,CTRLABGOLIVAIY,C15H12N2O2,7,7,True,True,train
VPZIYMMSJFWLSP,C15H12N2O2,True,True,QQCFBZCATDIWTH,C15H12N2O2,8,8,True,True,train
VPZIYMMSJFWLSP,C15H12N2O2,True,True,ZRWWEEVEIOGMMT,C15H12N2O2,9,9,True,True,train
VTNQPKFIQCLBDU,C14H20ClNO2,True,True,XCSGPAVHZFQHGE,C14H20ClNO2,7,7,True,True,train
VUMQHLSPUAFKKK,C15H23NO2,True,True,SUQHIQRIIBKNOR,C15H23NO2,3,3,True,True,train
VYRAHTPNSYEFTK,C9H12N2O2,True,True,SABZQUOBNXDLDV,C9H12N2O2,1,1,True,True,train
WPOCIZJTELRQMF,C18H22O3,True,True,MCGSCOLBFJQGHM,C14H18N6O,1,1,False,True,train
WPOCIZJTELRQMF,C18H22O3,True,True,SWINWPBPEKHUOD,C18H22O3,5,5,True,True,train
WUBBRNOQWQTFEX,C7H7NO3,True,True,KBOPZPXVLCULAV,C7H7NO3,9,9,True,True,train
WWYNJERNGUHSAO,C21H28O2,True,True,CHNXZKVNWQUJIB,C21H28O2,2,2,True,True,train
XCSGPAVHZFQHGE,C14H20ClNO2,True,True,VTNQPKFIQCLBDU,C14H20ClNO2,5,5,True,True,train
XGHOVGYJHWQGCC,C32H37NO4,True,True,OQXVWJQUBIBIHZ,C32H37NO4,9,9,True,True,test
XQZXYNRDCRIARQ,C17H22I3N3O8,True,True,NJKDOADNQSYQEV,C17H22I3N3O8,8,8,True,True,train
XVAIDCNLVLTVFM,C9H11NO2,True,True,FGOFNVXHDGQVBG,C9H11NO2,9,9,True,True,train
XXBDWLFCJWSEKW,C9H13N,True,True,JJVKJJNCIILLRP,C9H13N,9,9,True,True,train
YEDUAINPPJYDJZ,C7H5NOS,True,True,AACVULYSNJAKEQ,C7H5NOS,8,8,True,True,train
YEDUAINPPJYDJZ,C7H5NOS,True,True,DMSMPAJRVJJAGA,C7H5NOS,8,8,True,True,train
YEDUAINPPJYDJZ,C7H5NOS,True,True,FLFWJIBUZQARMD,C7H5NOS,1,1,True,True,train
YFBPRJGDJKVWAH,C11H15NO2S,True,True,FFKNXXCOXIZLJD,C11H12FNO3,3,3,False,True,train
YICAMJWHIUMFDI,C9H11NO,True,True,BGNGWHSBYQYVRX,C9H11NO,8,8,True,True,train
YKBGVTZYEHREMT,C10H13N5O4,True,True,HBOMLICNUCNMMY,C10H13N5O4,2,2,True,True,train
YKBGVTZYEHREMT,C10H13N5O4,True,True,OIRDTQYFTABQOQ,C10H13N5O4,3,3,True,True,train
YKUCHDXIBAQWSF,C8H8O3,True,True,LXCFILQKKLGQFO,C8H8O3,8,8,True,True,train
YOZNZNZSJNNALS,C10H13NO2,True,True,CPJSUEIXXCENMM,C10H13NO2,8,8,True,True,train
YOZNZNZSJNNALS,C10H13NO2,True,True,NGBBVGZWCFBOGO,C10H13NO2,4,4,True,True,train
YVPYQUNUQOZFHG,C11H9I3N2O4,True,True,UXIGWFXRQKWHHA,C11H9I3N2O4,7,7,True,True,train
YYCRAERBSFHMPL,C18H19NO4,True,True,ZOTBXTZVPHCKPN,C18H19NO4,9,9,True,True,train
ZBYDMKPFQILQOD,C10H14N2O3,True,True,JYFHYPJRHGVZDY,C8H19O4P,3,3,False,True,train
ZFQMTVNLDNXRNQ,C21H29N2O+,False,True,VHYCDWMUTMEGQY,C18H31NO4,9,9,False,True,train
ZOTBXTZVPHCKPN,C18H19NO4,True,True,YYCRAERBSFHMPL,C18H19NO4,9,9,True,True,train
ZQEIXNIJLIKNTD,C15H21NO4,True,True,LNOOSYCKMKZOJB,C15H21NO4,4,4,True,True,train
ZRWWEEVEIOGMMT,C15H12N2O2,True,True,CTRLABGOLIVAIY,C15H12N2O2,7,7,True,True,train
ZRWWEEVEIOGMMT,C15H12N2O2,True,True,QQCFBZCATDIWTH,C15H12N2O2,8,8,True,True,train
ZRWWEEVEIOGMMT,C15H12N2O2,True,True,VPZIYMMSJFWLSP,C15H12N2O2,7,7,True,True,train
ZZORFUFYDOWNEF,C12H14N4O4S,True,True,PJSFRIWCGOHTNF,C12H14N4O4S,1,1,True,True,train
