k,n_rows,instruments,adducts,folds,sim_rows,ce_nonnull_rows
RPHAAJGBADUATP,3,NA;Orbitrap;QTOF,[M+H]+,train,1,1
SKXNIRUDASOCCN,2,NA;Orbitrap,[M+H]+,train,0,0
SLQVVNFTCYVCPB,2,NA;Orbitrap,[M+H]+,train,0,0
SNNDIPJEAQAKTJ,2,NA;Orbitrap,[M+H]+,train,0,0
TWRWTOXPYGQKPW,3,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
UANVCGQMNRTKGM,3,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
UCYIOAVHQGSYLP,3,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
UIKVQKMDLQHSKA,1,Orbitrap,[M+H]+,train,1,1
UQSRXQMIXSZGLA,2,NA;QTOF,[M+H]+,train,0,0
UUQHKWMIDYRWHH,8,NA;Orbitrap;QTOF,[M+H]+,train,5,5
UYUDMGMNHAKPEV,2,NA;Orbitrap,[M+H]+,train,0,0
VEGGRTFDFMUBPD,1,NA,[M+H]+,train,0,0
VOXMONAUSQZPTP,9,Orbitrap,[M+H]+;[M+Na]+,train,0,0
VXOZCESVZIRHCJ,1,QTOF,[M+H]+,train,0,0
VZPLPGICHZXOCQ,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
VZPSCITXDMDLDC,2,NA;Orbitrap,[M+H]+,train,0,0
VZYXHXRKFKLWJI,2,NA;QTOF,[M+H]+,train,0,0
WBIQYHZEYQDKCL,1,Orbitrap,[M+H]+,train,0,0
WCGUUGGRBIKTOS,194,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,3,3
WCWYEXBIRSSVGF,5,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,0,0
WJXSYUJKJSOJOG,10,NA;Orbitrap;QTOF,[M+H]+,train,6,6
WLGALFYTFVOQPY,4,NA;Orbitrap,[M+H]+,train,0,0
WZYZDHVPSZCEEP,2,NA;Orbitrap,[M+H]+,train,0,0
XEDMLQPKKYHCKK,2,NA;Orbitrap,[M+H]+,train,0,0
YFNNJORBJZUGCV,3,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
YLOYKYXNDHOHHT,1,Orbitrap,[M+H]+,train,0,0
ZQEUMOKDJCSNHB,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
