key,name,scaffold_group,n_records,labs,ce_strings,itypes,max_ce_within_lab,in_msg15_all,in_msg15_train,in_msg15_val,in_msg15_test,in_msg15_parent_all,in_msg15_simchallenge,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_pr7_study2,in_comparator_common,in_msnlib_9lib,in_multims2_reserved,scaf_in_msg15_scaffolds,scaf_in_muru_registry_scaffolds,scaf_in_pr7_study2_scaffolds,scaf_in_comparator_scaffolds
BKAYIFDRRZZKNF,Acetylcarnosine,c1c[nH]cn1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
BLDTUWFMPJJRPR,Salonitenolide,C=C1C(=O)OC2C=CCCC=CCCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
BLGXFZZNTVWLAY,yohimbine,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BLHCMGRVFXRYRN,6-HYDROXYNICOTINATE,c1ccncc1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BMLZFLQMBMYVHG,Phellopterin,O=c1ccc2cc3ccoc3cc2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
BMVJFNLJSZHNNS,Budlein A,C=C1C(=O)OC2C=CC3=CC(=O)C(CCC12)O3,1,MC14,50eV,LC-ESI-ITFT,1,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
BNYGSEIZBNUPPY,Costunolide-Cysteine,O=C1CC2CCC=CCCC=CC2O1,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOWVQLFMWHZBEF,N-Oleoylethanolamine,__ACYCLIC__BOWVQLFMWHZBEF,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
BPMFZUMJYQTVII,GUANIDINOACETATE,__ACYCLIC__BPMFZUMJYQTVII,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BRMWTNUJHUMWMS,1-METHYL-L-HISTIDINE,c1c[nH]cn1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
BTCSSZJGUNDROE,gamma-Aminobutyric acid,__ACYCLIC__BTCSSZJGUNDROE,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BUIOBTSUIYLOKG,Erioflorin,C=C1C(=O)OC2C=CCCC3OC3CCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BVLZHYPKYFERCH,γ-Isoalantolactone-Glutathione,O=C1CC2CC3=CCCCC3CC2O1,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BXNJHAXVSOCGBA,harmine,c1ccc2c(c1)[nH]c1cnccc12,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BYMOGFTUZUEFHY,Dehydrotomatine,C1=C2CC(OC3CCC(OC4OCCC(OC5CCCCO5)C4OC4CCCCO4)CO3)CCC2C2CCC3C4CC5(CCCCN5)OC4CC3C2C1,2,MC19,35eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BZORFPDSXLZWJF,"N,N-DIMETHYL-1,4-PHENYLENEDIAMINE",c1ccccc1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
BZQFBWGGLXLEPQ,DL-O-Phosphoserine,__ACYCLIC__BZQFBWGGLXLEPQ,8,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CBQJSKKFNMDLON,N-ACETYLPHENYLALANINE,c1ccccc1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CDAWCLOXVUBKRW,2-AMINOPHENOL,c1ccccc1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
CDOSHBSSFJOMGT,(-)-linalool,__ACYCLIC__CDOSHBSSFJOMGT,1,MC01,35 CID,APCI-ITFT,0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CHBBSMUTOCUVDW,"7,8-Dimethoxychromen-2-one",O=c1ccc2ccccc2o1,2,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
CHKPFVHCBRAVJP,Haageanolide,C=C1C(=O)OC2C=CCCC=CCCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
CIWBSHSKHKDKBQ,ASCORBATE,O=C1C=CCO1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
CJXMVKYNVIGQBS,4-Hydroxycinnamaldehyde,c1ccccc1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
CKLJMWTZIZZHCS,ASPARTATE,__ACYCLIC__CKLJMWTZIZZHCS,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CKTSBUTUHBMZGZ,DEOXYCYTIDINE,O=c1ncccn1C1CCCO1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
COCNDHOPIHDTHK,5-Methoxyindoleacetate,c1ccc2[nH]ccc2c1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
COLNVLDHVKWLRT,DL-Phenylalanine,c1ccccc1,8,"MC19,MC20,MC22",10|100|20|30|30eV|40|45eV|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CPAGZVLINCPJEH,3-METHYLHISTAMINE,c1c[nH]cn1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
CPPAWCQANCLZEO,5-Hydroxy-7-methoxychromen-2-one,O=c1ccc2ccccc2o1,1,MC19,45eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
CQLRUIIRRZYHHS,isorhamnetin 3-O-glucoside,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CQOVPNPJLQNMDC,Carnosine,c1c[nH]cn1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CRSFLLTWRCYNNX,Fraxin,O=c1ccc2cccc(OC3CCCCO3)c2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
CSWGBLVUKVWCOS,14-Hydroxy-Costunolide,C=C1C(=O)OC2C=CCCC=CCCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
CSYYHGVTSAUQEW,Viguilenin,C=C1C(=O)OC2CCC3CCC(CCC12)O3,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CTJZWFCPUDPLME,Heraclenin,O=c1ccc2cc3ccoc3c(OCC3CO3)c2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CUICTWWBLRZLES,Tifruticin,C=C1C(=O)OC2C=CC(=O)C=CCCCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CVJVKWSECGMGCW,N-FeruloylAgmatine,c1ccccc1,1,MC19,35eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
CVSVTCORWBXHQV,Creatine,__ACYCLIC__CVSVTCORWBXHQV,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CVUANYCQTOGILD,β-Isoalantolactone,C=C1CCCC2CC3OC(=O)C(=C)C3CC12,1,MC14,50eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
CWOJBEDMJKZKAB,8-Methylthiooctyl glucosinolate,C1CCOCC1,1,MC15,30,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
CWVRJTMFETXNAD,Chlorogenic acid,O=C(C=Cc1ccccc1)OC1CCCCC1,6,"MC09,MC19,MC25","0.3|15,30,45 (NCE)|35eV","LC-ESI-ITFT,LC-ESI-QFT",1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
CXQWRCVTCMQVQX,Taxifolin,O=C1CC(c2ccccc2)Oc2ccccc21,1,MC19,35eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
CYMAWWCMMZZOTB,Farinosin,C=C1C(=O)C=CC2CC3OC(=O)CC3CC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CZORDMACTVHUCP,Alantolactone-Glutathione,O=C1CC2C=C3CCCCC3CC2O1,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DANYIYRPLHHOCZ,Acacetin,O=c1cc(-c2ccccc2)oc2ccccc12,2,"MC19,MC25",0.3|45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DAYLJWODMCOQEW,NICOTINAMIDE MONONUCLEOTIDE,c1cc[n+](C2CCCO2)cc1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DBMJZOMNXBSRED,Bergamottin,O=c1ccc2cc3ccoc3cc2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
DBYQNZJJUBKANY,"2-oxo-8(2-methyl-2,3-epoxybutanoyl)-guaia-3,10(14),11(13)-trien-6,12-olide",C=C1CC(OC(=O)C2CO2)C2C(=C)C(=O)OC2C2C=CC(=O)C12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DCQBOIHKCBTVFH,5alpha-Solanidan-3-on,O=C1CCC2C(CCC3C2CCC2C3CC3C2CC2CCCCN23)C1,1,MC01,35 CID,APCI-ITFT,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DCTLYFZHFGENCW,XANTHOSINE-MONOPHOSPHATE,O=c1[nH]c(=O)c2ncn(C3CCCO3)c2[nH]1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
DCXYFEDJOCDNAF,L-Asparagine,__ACYCLIC__DCXYFEDJOCDNAF,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DCYOADKBABEMIQ,Myricitrin,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
DDRJAANPRJIHGJ,Creatinine,N=C1NCC(=O)N1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,False,False,False
DFMAXQKDIGCMTL,Isopimpinellin,O=c1ccc2cc3ccoc3cc2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DFPAKSUCGFBDDF,Niacinamide,c1ccncc1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DFPMSGMNTNDNHN,Naringin,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21,2,"MC19,MC25",0.3|45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DGVSIBCCYUVRNA,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE,O=c1nc[nH]c2c1ncn2C1CCC(CO[PH](=O)O[PH](=O)OCC2CCC([n+]3ccccc3)O2)O1,1,MC22,30eV,LC-ESI-QFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DHCLVCXQIBBOPH,BETA-GLYCEROPHOSPHATE,__ACYCLIC__DHCLVCXQIBBOPH,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DHMQDGOQFOQNFH,Glycine,__ACYCLIC__DHMQDGOQFOQNFH,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DIVDFFZHCJEHGG,6-HYDROXYDOPAMINE,c1ccccc1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
DIVQKHQLANKJQO,3-Methoxytyramine,c1ccccc1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DJJCXFVJDGTHFX,URIDINE MONOPHOSPHATE,O=c1ccn(C2CCCO2)c(=O)[nH]1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DLCJNIBLOSKIQW,Sphondin,O=c1ccc2ccc3occc3c2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
DLFVBJFMPXGRIB,Acetamide,__ACYCLIC__DLFVBJFMPXGRIB,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DNDNWOWHUWNBCK,3-Indolylmethylglucosinolate,N=C(Cc1c[nH]c2ccccc12)SC1CCCCO1,1,MC15,30,LC-ESI-ITFT,1,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False
DNVPQKQSNYMLRS,Ergosterol,C1=C2CCCCC2C2CCC3CCCC3C2=C1,1,MC01,35 CID,APCI-ITFT,0,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
DNXHEGUUPJUMQT,Estrone (E1),O=C1CCC2C1CCC1c3ccccc3CCC12,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DRBBFCLWYRJSJZ,PHOSPHOCREATINE,__ACYCLIC__DRBBFCLWYRJSJZ,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
DRLFMBDRBRZALE,MELATONIN,c1ccc2[nH]ccc2c1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DRTQHJPVMGBUCF,URIDINE,O=c1ccn(C2CCCO2)c(=O)[nH]1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DTOSIQBPPRVQHS,alpha-Linolenic acid,__ACYCLIC__DTOSIQBPPRVQHS,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DUUGKQCEGZLZNO,5-Hydroxyindoleacetic acid,c1ccc2[nH]ccc2c1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DUYSYHSSBDVJSM,Sphingosine 1-phosphate,__ACYCLIC__DUYSYHSSBDVJSM,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
DVGGLGXQSFURLP,tiliroside,O=C(C=Cc1ccccc1)OCC1CCCC(Oc2c(-c3ccccc3)oc3ccccc3c2=O)O1,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DZEPISXWRUMGFN,"4,9-Dihydroxyfuro[3,2-g]chromen-7-one",O=c1ccc2cc3ccoc3cc2o1,1,MC19,45eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
DZGWFCGJZKJUFP,Tyramine,c1ccccc1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DZTHIGRZJZPRDV,N-ACETYLTRYPTOPHAN,c1ccc2[nH]ccc2c1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
DZTWAOVNNLDWNH,Heliangine,C=C1C(=O)OC2C=CCCC3OC3CCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FATBGEAMYMYZAF,Oleamide,__ACYCLIC__FATBGEAMYMYZAF,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
FBBNBCYJERUAGT,15beta-Hydroxy-sola-dulcidin,C1CCC2(CC3C(CC4C3CCC3C5CCCCC5CCC34)O2)NC1,1,MC01,35 CID,APCI-ITFT,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
FBPFZTCFMRRESA,GALACTITOL,__ACYCLIC__FBPFZTCFMRRESA,3,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
FBTSQILOGYXGMD,3-Nitrotyrosine,c1ccccc1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
FBZONXHGGPHHIY,XANTHURENATE,c1ccc2ncccc2c1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
FCCDDURTIIUXBY,LIPOAMIDE,C1CSSC1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
FDGQSTZJBFJUBT,HYPOXANTHINE,c1ncc2[nH]cnc2n1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
FEFAIBOZOKSLJR,Miltirone,O=C1C=Cc2ccc3c(c2C1=O)CCCC3,1,MC09,"15,30,45 (NCE)",LC-ESI-QFT,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
