key,name,scaffold_group,n_records,labs,ce_strings,itypes,max_ce_within_lab,in_msg15_all,in_msg15_train,in_msg15_val,in_msg15_test,in_msg15_parent_all,in_msg15_simchallenge,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_pr7_study2,in_comparator_common,in_msnlib_9lib,in_multims2_reserved,scaf_in_msg15_scaffolds,scaf_in_muru_registry_scaffolds,scaf_in_pr7_study2_scaffolds,scaf_in_comparator_scaffolds
AGPKZVBTJJNPAG,L-Alloisoleucine,__ACYCLIC__AGPKZVBTJJNPAG,21,"MC02,MC10,MC20,MC22",0.6458333|10|100|15 / 50|20|30|30eV|40|6.0000000|60,"ESI-TOF,LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AGZMFTKKLPHOMT,Akuammicine,C=C1CN2CCC34C(=CC1CC23)Nc1ccccc14,1,MC08,30 eV,ESI-QTOF,1,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
AHLPHDHHMVZTML,Ornithine,__ACYCLIC__AHLPHDHHMVZTML,15,"MC02,MC20,MC21,MC22,MC23",0.6458333|10|100|15.00|20|30|30eV|40|6.0000000|60,"ESI-TOF,LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AHWWGLGKLMSRAW,O-acyl sugar AS10,C1CCC(OC2CCCO2)OC1,1,MC03,22.5eV,LC-ESI-QTOF,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AIFCFBUSLAEIBR,Ginkgetin,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,6,MC09,"15,30,45 (NCE)",LC-ESI-QFT,0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AIFRHYZBTHREPW,Norharman,c1ccc2c(c1)[nH]c1cnccc12,3,MC21,15|15.00,LC-ESI-QTOF,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AIONOLUJZLIMTK,4'-Methyleriodictyol,O=C1CC(c2ccccc2)Oc2ccccc21,2,MC11,50eV,LC-ESI-QTOF,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AJMZUFBKADIAKC,18:0-18:2 DG,__ACYCLIC__AJMZUFBKADIAKC,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AJPADPZSRRUGHI,1-deoxy-D-xylulose 5-phosphate,__ACYCLIC__AJPADPZSRRUGHI,1,MC05,"-10, -35, -60V",LC-ESI-QTOF,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AJSPSRWWZBBIOR,Isobergapten,O=c1ccc2ccc3occc3c2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AKIHYQWCLCDMMI,p-Coumaroylagmatine,c1ccccc1,1,MC11,50eV,LC-ESI-QTOF,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
AKNNEGZIBPJZJG,Noscapine,O=C1OC(C2NCCc3cc4c(cc32)OCO4)c2ccccc21,5,MC21,23.56|24.76|24.91,LC-ESI-QTOF,3,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AKVBCGQVQXPRLD,DL-2-Aminooctanoic acid,__ACYCLIC__AKVBCGQVQXPRLD,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
AKWKWIHXNGCVIN,"S4:16(2,4,5,5)",C1CCC(OC2CCCO2)OC1,3,"MC17,MC18","-10,-35,-60V|35 NCE","LC-ESI-ITFT,LC-ESI-QTOF",1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
ALEXXDVDDISNDU,CORTISOL 21-ACETATE,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ALYNCZNDIQEVRV,p-Aminobenzoic acid,c1ccccc1,14,"MC02,MC05,MC20,MC21,MC23","-10, -35, -60V|0.6458333|10|100|20|30|35.00|40|6.0000000|60","ESI-TOF,LC-ESI-ITFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AMBQHHVBBHTQBF,loganin,C1=CC2CCCC2C(OC2CCCCO2)O1,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AMOGMTLMADGEOQ,Ginkgolide C,O=C1CC2C(CC34C5CCC36CC(=O)OC6OC24C(=O)O5)O1,10,MC09,"15,30,45 (NCE)",LC-ESI-QFT,0,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AMRSWCRLMWFDQS,"8,9-epoxy-14-oxo-germacra-1,10E,4,5Z,7,11-trienolide",C=C1C(=O)OC2C=CCCC=CC3OC3C12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANNNBEZJTNCXHY,Isorhapontigenin,C(=Cc1ccccc1)c1ccccc1,3,MC21,15.00,LC-ESI-QTOF,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
ANOUKFYBOAKOIR,"3,4-Dimethoxyphenethylamine",c1ccccc1,2,MC21,15.00,LC-ESI-QTOF,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ANRKEHNWXKCXDB,1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine,__ACYCLIC__ANRKEHNWXKCXDB,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOQQTUFPZUDJJI,β-Isoalantolactone-Glutathione,C=C1CCCC2CC3OC(=O)CC3CC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOXGLIJSZLOQNZ,Putative_Margaritene,O=c1cc(-c2ccccc2)oc2c(C3OCCCC3OC3CCCCO3)cccc12,1,MC07,20-40eV,LC-ESI-QTOF,0,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
AOYNUTHNTBLRMT,2-Fluoro-2-Deoxy-D-Glucose (Fluorodeoxyglucose F18),__ACYCLIC__AOYNUTHNTBLRMT,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
APIXJSLKIYYUKG,3-Isobutyl-1-methylxanthine,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
APJYDQYYACXCRM,Tryptamine,c1ccc2[nH]ccc2c1,8,"MC20,MC21,MC22",10|100|15.00|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
APMZLVUQUOLITD,Nicotianoside VII,C(=CCCC=CCOC1OCCCC1OC1CCCCO1)CCC=CCCCOC1CCC(OC2CCCCO2)CO1,1,MC03,22.5eV,LC-ESI-QTOF,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AQHHHDLHHXJYJD,Propranolol,c1ccc2ccccc2c1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AQOKCDNYWBIDND,17-phenyl trinor Prostaglandin F2-alpha ethyl amide,C(=CC1CCCC1)CCCc1ccccc1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False
ARDBGAXJBHFKTL,"acyl sugar_S4:20 (5,5,5,5)",C1CCC(OC2CCCO2)OC1,1,MC18,35 NCE,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
ARGKVCXINMKCAZ,neohesperidin,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21,2,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ARLKRGWOZZAHQP,"Tomatidine-O,N-diacetat",C1CCC2(CC3C(CC4C3CCC3C5CCCCC5CCC34)[OH+]2)NC1,1,MC01,35 CID,APCI-ITFT,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARSRJFRKVXALTF,Tricetin,O=c1cc(-c2ccccc2)oc2ccccc12,2,MC11,50eV,LC-ESI-QTOF,1,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
ASJSAQIRZKANQN,2-Deoxy-D-ribose,__ACYCLIC__ASJSAQIRZKANQN,3,MC21,15.00|21.69,LC-ESI-QTOF,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ASTZXVSQSSBFOS,Oleoyl-L-carnitine hydrochloride,__ACYCLIC__ASTZXVSQSSBFOS,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASWBNKHCZGQVJV,1-palmitoyl-2-hydroxy-sn-glycero-3-phosphocholine,__ACYCLIC__ASWBNKHCZGQVJV,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ATEFPOUAMCWAQS,Daphnetin,O=c1ccc2ccccc2o1,2,MC21,35|35.00,LC-ESI-QTOF,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ATHGHQPFGPMSJY,Spermidine,__ACYCLIC__ATHGHQPFGPMSJY,8,"MC20,MC21,MC22",10|100|15.00|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ATUPZONNYSDDBY,"Tifruticin, desoxy-1,2-dihydro",C=C1C(=O)OC2C=CCCCCCCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AUEJLPRZGVVDNU,H-Tyr-Leu-OH,c1ccccc1,2,MC21,15.00|31.79,LC-ESI-QTOF,2,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
AUJXJFHANFIVKH,Methyl ferulate,c1ccccc1,1,MC11,50eV,LC-ESI-QTOF,1,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False
AUNGANRZJHBGPY,riboflavin,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,18,"MC05,MC10,MC21,MC22","-10, -35, -60V|10|100|15 / 50|20.63|20.79|30|30eV|35.03|35.07|60","LC-ESI-QFT,LC-ESI-QTOF",4,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False
AUNLIRXIJAVBNM,zymosterone,O=C1CCC2C3=C(CCC2C1)C1CCCC1CC3,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AUOFTPXWUVYOOQ,Geissoschizine,C=C1CCC2c3[nH]c4ccccc4c3CCN2C1,1,MC08,30 eV,ESI-QTOF,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AUTOLBMXDDTRRT,DETHIOBIOTIN,O=C1NCCN1,7,"MC22,MC23",10|20|30eV|40,"LC-ESI-QFT,LC-ESI-QTOF",3,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
AUULYUITRYGGJX,lactucopicrin oxalate,C=C1C(=O)OC2C3C=CC(=O)C3=CCC(OC(=O)Cc3ccccc3)C12,1,MC24,25V ± 15V CES,ESI-QTOF,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AUVZFRDLRJQTQF,Lochnericine,C1=C2Nc3ccccc3C23CCN2CC4OC4C(C1)C23,1,MC08,30 eV,ESI-QTOF,1,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
AUYYCJSJGJYCDS,Liothyronine,c1ccc(Oc2ccccc2)cc1,3,"MC02,MC22",0.6458333|30eV|6.0000000,"ESI-TOF,LC-ESI-QFT",2,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AVFIYMSJDDGDBQ,Tomentosin,C=C1C(=O)OC2CCC=CCC12,1,MC14,50eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AVFPEFZPKZCVMP,"(25S)-3beta,16beta-Diacetoxy-22,26-imino-5alpha-cholest-22(N)-en",C1CCC(CC2CCC3C2CCC2C4CCCCC4CCC23)=NC1,1,MC01,CID 35,APCI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AVKUERGKIZMTKX,ampicillin,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,1,MC05,"-10, -35, -60V",LC-ESI-QTOF,0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AVSXSVCZWQODGV,desmosterol,C1=C2CCCCC2C2CCC3CCCC3C2C1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AVUYLHQSIMTBCQ,16-phenyl tetranor Prostaglandin F2-alpha,C(=CC1CCCC1)CCc1ccccc1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AWDRATDZQPNJFN,Taurodeoxycholic acid,C1CCC2C(C1)CCC1C3CCCC3CCC21,12,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AWSHXGOINMVSGP,Prostaglandin D2-1-glyceryl ester,O=C1CCCC1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AWUCVROLDVIAJX,sn-Glycerol 3-phosphate,__ACYCLIC__AWUCVROLDVIAJX,9,"MC05,MC20,MC22","-10, -35, -60V|10|100|20|30|30eV|40|60","LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AXMVYSVVTMKQSL,Caffeic aldehyde,c1ccccc1,2,MC19,45eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AXNVHPCVMSNXNP,escin,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCC(OC5CCCCO5)CC4OC4CCCCO4)CCC3C2C1,2,MC25,0.3,LC-ESI-ITFT,1,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False
AYFVYJQAPQTCCC,L-Allothreonine,__ACYCLIC__AYFVYJQAPQTCCC,26,"MC02,MC05,MC10,MC20,MC21,MC22,MC23","-10, -35, -60V|0.6458333|10|100|15 / 50|15.00|20|30|30eV|40|6.0000000|60","ESI-TOF,LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AZFYHRHUTXBGJS,Herbacetin 8-methyl ether,O=c1cc(-c2ccccc2)oc2ccccc12,2,MC11,50eV,LC-ESI-QTOF,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AZLASBBHHSLQDB,H-Leu-Ile-OH,__ACYCLIC__AZLASBBHHSLQDB,1,MC21,15.00,LC-ESI-QTOF,1,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
BAJBCZHVQXVBMJ,Putative_Momordin Ii,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CC(OC6CCCCO6)CCO5)CC4CCC3C1CC2,1,MC07,20-40eV,LC-ESI-QTOF,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
BAURYGOYSLZFPX,14-Hydroxy-Parthenolide,C=C1C(=O)OC2C1CCC=CCCC1OC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
BAWFJGJZGIEFAR,nadide,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,5,"MC05,MC10,MC23","-10, -35, -60V|100|15 / 50|20|40",LC-ESI-QTOF,2,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False
BAXOFTOLAUCFNW,1H-Indazole,c1ccc2[nH]ncc2c1,1,MC21,15.00,LC-ESI-QTOF,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
BBIXOODYWPFNDT,H-Ile-Pro-OH,C1CCNC1,3,MC21,15.00|26.80,LC-ESI-QTOF,2,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
BBMLTTOFEBDQIR,Epi-Inunolide,C=C1C(=O)OC2CC=CCCC=CCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BBYIMPSUCDZNDY,"(20S)-20-(5-methyl-pyridyl-2)-5alpha-pregnan-3beta, 16alpha-diol",c1ccc(CC2CCC3C2CCC2C4CCCCC4CCC23)nc1,2,MC01,35 CID|CID 35,APCI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BBYWOYAFBUOUFP,1-Stearoyl-2-Hydroxy-sn-Glycero-3-Phosphoethanolamine,__ACYCLIC__BBYWOYAFBUOUFP,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
BBZCPUCZKLTAJQ,3-METHYL-2-OXINDOLE,O=C1Cc2ccccc2N1,4,"MC22,MC23",10|20|30eV|40,"LC-ESI-QFT,LC-ESI-QTOF",3,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
BCGWQEUPMDMJNV,Imipramine,c1ccc2c(c1)CCc1ccccc1N2,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BCRXKWOQVFKZAG,8-(Methylsulfinyl)octyl isothiocyanate,__ACYCLIC__BCRXKWOQVFKZAG,3,MC21,15.00,LC-ESI-QTOF,1,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
BCVIOZZGJNOEQS,H-Ile-Ile-OH,__ACYCLIC__BCVIOZZGJNOEQS,3,MC21,15.00|29.05,LC-ESI-QTOF,2,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
BCWKMSLBLIKZQX,"3-(1,3-benzodioxol-5-yl)-7-[(2S,3R,4S,5S,6R)-6-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-6-methoxychromen-4-one",O=c1c(-c2ccc3c(c2)OCO3)coc2cc(OC3CCCC(COC4CCCO4)O3)ccc12,1,MC07,20-40eV,LC-ESI-QTOF,0,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
BCXBIONYYJCSDF,H-Ile-Val-OH,__ACYCLIC__BCXBIONYYJCSDF,4,MC21,15.00|26.95|27.10,LC-ESI-QTOF,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BDCDNTVZSILEOY,Quercetin-3-O-a-D-arabinopyranoside,O=c1c(OC2CCCO2)c(-c2ccccc2)oc2ccccc12,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BDJRBEYXGGNYIS,azelaic acid,__ACYCLIC__BDJRBEYXGGNYIS,10,"MC05,MC20,MC22,MC23","-10, -35, -60V|10|100|20|30|30eV|40|60","LC-ESI-ITFT,LC-ESI-QFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BEIWISPKRRYITG,Diacetyl-23-keto-pseudodulciden B,O=C1CCCNC12CC1C(CC3C1CCC1C4CCCCC4CCC13)O2,1,MC01,CID 35,APCI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BELBBZDIHDAJOR,Phenol Red,O=S1(=O)OC(c2ccccc2)(c2ccccc2)c2ccccc21,14,MC10,10|100|15 / 50|30|60,LC-ESI-QTOF,4,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
BFVRFWIQTACAPT,N-16:0 L-Serine,__ACYCLIC__BFVRFWIQTACAPT,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
BGEBZHIAGXMEMV,Bergapten,O=c1ccc2cc3ccoc3cc2o1,3,"MC19,MC21",35.00|45eV,"LC-ESI-ITFT,LC-ESI-QTOF",1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BGKHCLZFGPIKKU,PGA1,O=C1C=CCC1,4,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
BGLYCORFWPWMPL,Putative_Trichoside A,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CC(OC6CCCCO6)CCO5)CC4CCC3C1CC2,1,MC07,20-40eV,LC-ESI-QTOF,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
BGOFCVIGEYGEOF,Helicin,c1ccc(OC2CCCCO2)cc1,4,MC21,0.00|15.00|17.18,LC-ESI-QTOF,3,True,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False
BHHGXPLMPWCGHP,Phenethylamine,c1ccccc1,2,MC21,15.00,LC-ESI-QTOF,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BHLYRWXGMIUIHG,Reticuline,c1ccc(CC2NCCc3ccccc32)cc1,2,MC12,"-10, -35, -60|1, 35, 60",ESI-QTOF,0,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
BHOGPBCKBGSAIM,15-ketocholestane,O=C1CCC2CCC3C4CCCCC4CCC3C12,2,MC02,0.6458333|6.0000000,ESI-TOF,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
