case_id,family_id,variant,g3_event,is_violation,violation_cause,root_cause_class,mechanism,unsafe_structural_acceptance,acceptance_status,acceptance_gate_reached,a1_status_sealed,a1_status_recomputed,a1_blocking_detectors,shares_g1_root_cause,effective_support,discovered_expression,selection_count,valid_r2,complexity,mu_max,missing_cell_fraction
PB|held_out|F19|r008,F19C,F19C,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_BELOW_NULL),False,REJECTED_BELOW_NULL,null_threshold,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,sqrt(x0) * 0.089170836,14,0.006541538892617105,4,0.98888129820902,0.0
PB|held_out|F19|r009,F19A,F19A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,distractor|mass,1.0199318 - (inv(x0) / (x3 - -0.64264846)),1,-0.05579633047894861,8,0.9999,0.0
PB|held_out|F19|r010,F19B,F19B,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_UNSTABLE),False,REJECTED_UNSTABLE,stability,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,(x0 * 0.0027184405) - -0.3109565,2,0.9835625363910065,5,0.9846917170257005,0.0
PB|held_out|F19|r011,F19C,F19C,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_BELOW_NULL),False,REJECTED_BELOW_NULL,null_threshold,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,correlated_distractor|descriptor2,(x4 - x2) + 1.6812626,6,-0.03218603136687226,5,0.9842639794990831,0.0
PB|held_out|F20|r000,F20A,F20A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,distractor,sqrt(sqrt(sqrt(sqrt(square(inv(x3 + -0.9764948)))))),1,-0.21077642515923678,9,0.9999,0.0
PB|held_out|F20|r001,F20B,F20B,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M2|M3,True,mass,sqrt(x0) * 0.061734106,11,-0.017082140993964545,4,0.9865101809783798,0.0
PB|held_out|F20|r002,F20C,F20C,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(sqrt(x0 / 231.33168)),4,-0.013102344436896063,5,0.9999,0.0
PB|held_out|F20|r003,F20A,F20A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M2|M3,True,correlated_distractor|descriptor2,cube(x4 - cube(x2)) + 1.0253114,2,0.024451009314553906,7,0.9999,0.0
PB|held_out|F20|r004,F20B,F20B,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,log(sqrt(x0)) * 0.37305194,3,0.1069888330143095,5,0.9997467956139049,0.0
PB|held_out|F20|r005,F20C,F20C,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M2|M3,True,descriptor2,sqrt(x2 + 0.64880794),17,-0.04746388731711826,4,0.9999,0.0
PB|held_out|F20|r006,F20A,F20A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,descriptor,(x1 - square(x1)) - -0.84424156,3,0.025181925224512902,6,0.9999,0.0
PB|held_out|F20|r007,F20B,F20B,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0 * 0.004530397),23,-0.07559926064119438,4,0.9999,0.0
PB|held_out|F20|r008,F20C,F20C,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0) * 0.06723612,21,0.10004680426397428,4,0.968126314322853,0.0
PB|held_out|F20|r009,F20A,F20A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M2|M3,True,descriptor,cube(square(x1)) + 1.0200726,2,-1.0255340598141056,5,0.9956754736460243,0.0
PB|held_out|F20|r010,F20B,F20B,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M2|M3,True,mass,sqrt(x0) * 0.06329363,19,-0.2035915735307401,4,0.9770807795807972,0.0
PB|held_out|F20|r011,F20C,F20C,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(sqrt(x0)) * 0.2567959,2,-0.0445070838639916,5,0.9999,0.0
