case_id,family_id,variant,truth_family,truth_support,truth_relationship,g2_event_sealed,g2_success,first_failure_point,first_failure_stage_coarse,root_cause_class,first_failure_detail,grammar_representable,classifier_label_reachable,operators_missing_from_grammar,seeds_completed,seeds_parsed,seeds_with_support_match,seeds_with_family_match,seeds_with_g2_success,seeds_unevaluable,truth_equivalent_ever_generated,best_truth_equivalent_seed_share,identity_class_count,identity_classes_holding_correct,largest_identity_class_size,selection_count_sealed,selection_count_replayed,cross_seed_replay_reproduces_seal,survived_cross_seed_selection,label_rule_would_have_won,label_class_count,label_winner_size,oracle_any_seed_correct,winning_class_support_status,winning_class_family_status,sealed_support_status,sealed_family_status,sealed_discovered_family,sealed_discovered_expression,modal_discovered_family,parser_lost_candidate,mean_valid_r2_correct_seeds,mean_valid_r2_incorrect_seeds,mean_complexity_correct_seeds,mean_complexity_incorrect_seeds,delta_valid_r2_correct_minus_incorrect,delta_complexity_correct_minus_incorrect,coefficient_fit_indicator_winning_class_distinct_coef_vectors,winning_class_distinct_expression_strings,a1_status,acceptance_status,acceptance_gate_reached,valid_r2,complexity,descriptor_sd,mass_range_ratio
PB|held_out|F01|r010,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,8/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 2 votes),True,True,,30,30,27,8,8,18,True,0.26666666666666666,29,8,2,2,2,True,False,False,4,18,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.06344556,None,False,0.9974759211440514,0.9873040866456642,9.5,10.181818181818182,0.010171834498387211,-0.6818181818181817,1,1,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.91041081581247,4,0.19745258480658232,4.544415354115241
PB|held_out|F01|r011,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,7/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 9 votes),True,True,,30,30,13,7,7,7,True,0.23333333333333334,21,7,9,9,9,True,False,False,4,16,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.059104037,mass_power,False,0.9999963388410452,0.9379081836134852,8.714285714285714,6.739130434782608,0.06208815522756006,1.975155279503105,6,7,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.913033836131435,4,0.1959677480952298,9.136298861912028
PB|held_out|F02|r000,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,0,False,0.0,4,0,23,23,23,True,False,False,1,30,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.06344317,mass_power,False,,0.8320930339768284,,4.266666666666667,,,5,5,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.8690775377206594,4,0.21796608231594058,4.7850768719880294
PB|held_out|F02|r001,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION_FAMILY,GENERATION_FAMILY,SEARCH_GENERATION_FAILURE,1/30 seeds reached the right support but no seed reached the right family,True,True,,30,30,1,0,0,30,False,0.0,3,0,28,28,28,True,False,False,2,29,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.6024689,None,False,,0.14640010273110013,,3.1666666666666665,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.12104849826404374,3,0.22844253205964601,4.293825627556664
PB|held_out|F02|r002,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION_FAMILY,GENERATION_FAMILY,SEARCH_GENERATION_FAILURE,1/30 seeds reached the right support but no seed reached the right family,True,True,,30,30,1,0,0,7,False,0.0,6,0,22,22,22,True,False,False,3,23,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,x0 * 0.0040673167,mass_power,False,,0.5814654227368534,,3.2666666666666666,,,9,9,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.5325391651515337,3,0.19407321843690492,4.23279350464595
PB|held_out|F02|r003,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION_FAMILY,GENERATION_FAMILY,SEARCH_GENERATION_FAILURE,1/30 seeds reached the right support but no seed reached the right family,True,True,,30,30,1,0,0,11,False,0.0,11,0,18,18,18,True,False,False,3,19,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.06390331,mass_power,False,,0.7296175026874987,,3.9,,,11,11,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.7799986778473793,4,0.24347217281965627,5.2708246225775826
PB|held_out|F02|r004,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,2/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 27 votes),True,True,,30,30,2,2,2,28,True,0.06666666666666667,4,2,27,27,27,True,False,False,2,28,True,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.6060744,None,False,0.9620537983186618,0.7816491101451896,8.0,3.0,0.18040468817347222,5.0,1,2,M0_NOT_REJECTED,REJECTED_CEILING,ceiling,0.7816493034404244,3,0.2139793627034023,4.62280549875634
PB|held_out|F02|r005,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,11,False,0.0,5,0,19,19,19,True,False,False,2,19,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,x0 * 0.0041404516,mass_power,False,,0.7134186651783556,,3.0,,,8,8,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.7448855368127842,3,0.20394091721613616,6.169415830051182
PB|held_out|F02|r006,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,3,0,16,16,16,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.61448175,None,False,,0.3723024287296839,,3.0,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.37230119657721483,3,0.19609813863090755,5.279594602972547
PB|held_out|F02|r007,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,1/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 23 votes),True,True,,30,30,2,1,1,2,True,0.03333333333333333,8,1,23,23,23,True,False,False,4,27,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.06497999,mass_power,False,0.9556647721822569,0.8681325486820319,8.0,4.379310344827586,0.08753222350022494,3.6206896551724137,11,11,M0_NOT_REJECTED,STRUCTURAL_ACCEPTED,all_passed,0.8593333474559858,4,0.18134111727767727,5.197761254606253
PB|held_out|F02|r008,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,1/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 14 votes),True,True,,30,30,5,1,1,25,True,0.03333333333333333,15,1,14,14,14,True,False,False,4,21,True,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.61239827,None,False,0.9702272922750921,0.8159984677389527,8.0,4.275862068965517,0.1542288245361394,3.724137931034483,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.7710434929178973,3,0.21848007422559404,5.430129042188703
PB|held_out|F02|r009,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,0,False,0.0,8,0,22,22,22,True,False,False,1,30,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.060416028,mass_power,False,,0.8497989967124452,,4.366666666666666,,,9,9,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.8453753289012478,4,0.26676096270423055,4.036145757038378
PB|held_out|F02|r010,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,29,False,0.0,6,0,10,10,10,True,False,False,2,29,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.6169179,None,False,,0.19613043890574275,,3.066666666666667,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.17424041008816926,3,0.2069820196127742,4.220124235081721
PB|held_out|F02|r011,F02,F02,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION_FAMILY,GENERATION_FAMILY,SEARCH_GENERATION_FAILURE,1/30 seeds reached the right support but no seed reached the right family,True,True,,30,30,1,0,0,7,False,0.0,11,0,20,20,20,True,False,False,3,23,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,x0 * 0.0035606283,mass_power,False,,0.4029234157509781,,3.466666666666667,,,4,4,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.3822670092869912,3,0.23540197113224776,4.075541790337564
PB|held_out|F03|r000,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,8,0,20,20,20,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.53724337,None,False,,0.4841110999417797,,3.0,,,1,1,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.4841103050384513,3,0.21057377785370296,3.983415358637672
PB|held_out|F03|r001,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,13,0,6,6,6,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.45246968,None,False,,0.6146943930159675,,3.0,,,1,1,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.6146802113608967,3,0.19305621517863608,6.21826256827486
PB|held_out|F03|r002,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,9,0,12,12,12,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.5323104,None,False,,0.6066059918519021,,3.0,,,1,1,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.6066059756784679,3,0.19407015990987048,4.585996848498861
PB|held_out|F03|r003,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION_FAMILY,GENERATION_FAMILY,SEARCH_GENERATION_FAILURE,2/30 seeds reached the right support but no seed reached the right family,True,True,,30,30,2,0,0,30,False,0.0,10,0,12,12,12,True,False,False,2,28,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.56172895,None,False,,0.528420344328378,,3.433333333333333,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.5325517372521764,3,0.19861673282331177,4.176342627268187
PB|held_out|F03|r004,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,11,0,13,13,13,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.46077526,None,False,,0.6073344480952519,,3.0,,,1,1,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.6073353298247322,3,0.18194417852902955,5.941952876259629
PB|held_out|F03|r005,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,8,0,16,16,16,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.6101338,None,False,,0.3619864091098212,,3.0,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.3619863634713232,3,0.20870048641359842,5.197234076316594
PB|held_out|F03|r006,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,4,0,10,10,10,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.67980164,None,False,,0.6565811202447579,,3.0,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.6565930848640935,3,0.20542544697390594,5.384391240166659
PB|held_out|F03|r007,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION_FAMILY,GENERATION_FAMILY,SEARCH_GENERATION_FAILURE,2/30 seeds reached the right support but no seed reached the right family,True,True,,30,30,2,0,0,10,False,0.0,7,0,20,20,20,True,False,False,3,20,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,x0 * 0.0034341589,mass_power,False,,0.04299276153081693,,3.3666666666666667,,,12,12,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,-0.032474443813857556,3,0.23637989536909304,4.213872386419786
PB|held_out|F03|r008,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,0,False,0.0,10,0,21,21,21,True,False,False,1,30,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.0626685,mass_power,False,,0.8430353382254452,,4.5,,,11,12,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.8637137036410969,4,0.22613391185303028,4.693173786518858
PB|held_out|F03|r009,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,0,False,0.0,5,0,24,24,24,True,False,False,1,30,False,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.06365399,mass_power,False,,0.7262361532796329,,4.233333333333333,,,6,6,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.7301491781044996,4,0.2049744924289501,5.64172015794434
PB|held_out|F03|r010,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,GENERATION,GENERATION,SEARCH_GENERATION_FAILURE,no seed's retained candidate matched truth support or truth family,True,True,,30,30,0,0,0,30,False,0.0,18,0,10,10,10,True,False,False,1,30,False,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.43189278,None,False,,0.740602330730636,,3.0,,,1,2,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.7406023247534865,3,0.2130679562445131,6.097640098622903
PB|held_out|F03|r011,F03,F03,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,1/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 16 votes),True,True,,30,30,1,1,1,13,True,0.03333333333333333,7,1,16,16,16,True,False,False,3,16,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,x0 * 0.0033214989,mass_power,False,0.6219629532580685,0.0071360302953372475,9.0,3.0,0.6148269229627312,6.0,8,8,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,-0.05190266041847691,3,0.2328412455297689,4.238989827247052
PB|held_out|F04|r000,F04,F04,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,1/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 4 votes),True,True,,30,30,17,1,1,28,True,0.03333333333333333,25,1,4,4,4,True,False,False,4,15,True,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 + 0.5013046,None,False,0.9687137836086643,0.7232750765586187,8.0,5.448275862068965,0.24543870705004567,2.5517241379310347,1,1,BOUNDARY_LIMITED,UNEVALUABLE,a1_adequacy,0.4612778364806507,3,0.227707248914326,4.434215783896397
PB|held_out|F04|r001,F04,F04,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,4/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 8 votes),True,True,,30,30,7,4,4,25,True,0.13333333333333333,18,4,8,8,8,True,False,False,4,22,True,MISMATCH,FAMILY_UNRESOLVED,MISMATCH,FAMILY_UNRESOLVED,,x1 - -0.5376318,None,False,0.9796400338504054,0.7900352754321918,9.0,3.769230769230769,0.18960475841821367,5.230769230769231,1,2,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.7586397722673156,3,0.236209002784762,4.757950248737217
